"Longitude","Latitude"
-29860.0000000001,-2339205
870139.999999999,-4029205
1000140,-3949205
1020140,-4069204.99999999
1020140,-4079205
1030140,-4059205
1040140,-3959205
1040140,-4069205
1070140,-4049205
1070140,-4029205.00000001
1090140,-4049205
1090140,-4009205.00000001
1090140,-4019205.00000001
1100140,-4029205
1100140,-4039205
1100140,-4059204.99999999
1130140,-4009205
1130140,-3999205
1140140,-4029205
1140140,-4019205
1280140,-3779205
1300140,-3769205
1330140,-3639205
1350140,-3609205
1400140,-3589205
1430140,-3489205
1440140,-3449205
1440140,-3489205
1450140,-3429205
1420140,-3729205
1470140,-3419205
1500140,-3399205
1490140,-3519205
1500140,-3629205
1620140,-2959205
1500140,-3849205
1540140,-3619205.00000001
1620140,-3129205
1590140,-3509205.00000001
1610140,-3449205
1640140,-3359205
1710140,-2929205
1650140,-3379205
1660140,-3379205
1670140,-3319205
1650140,-3449205
1660140,-3439205
1680140,-3319205
1670140,-3439205
1690140,-3289205
1700140,-3309204.99999999
1710140,-3229204.99999999
1720140,-3219205
1720140,-3249205
1730140,-3229205.00000001
1730140,-3259205
