"Longitude","Latitude"
1210140,-3979205
1290140,-3959205
1310140,-3969205
1310140,-3979205
1350140,-3589205
1360140,-3579205
1370140,-3559205
1380140,-3529205
1390140,-3529205
1380140,-3559205
1390140,-3509205
1390140,-3559205
1430140,-3429205
1430140,-3449205
1450140,-3419205.00000001
1410140,-3799205
1420140,-3729205
1470140,-3409205
1420140,-3799205
1460140,-3729205
1460140,-3749205
1460140,-3809205
1480140,-3779205
1480140,-3809205
1490140,-3759205.00000001
1550140,-3329205
1490140,-3779205
1500140,-3799205
1600140,-3479204.99999999
