"Longitude","Latitude"
-1869860,-3219205
-1729860,-3859205
-1719860,-3879205.00000001
-1699860,-3829205
-1689860,-3759205
-1699860,-3639205
-1669860,-3829205
-1669860,-3779205
-1649860,-3889205
-1689860,-3589205
-1609860,-3829205
-1559860,-3929205
-1549860,-3929205
-1539860,-3929205
-1509860,-3919205
-1499860,-3869205
-1439860,-3909205
160140,-3779205
420140,-3849205
420139.999999999,-3809205
430140,-3839205
430140.000000003,-3819205
440140.000000001,-3839205
440139.999999999,-3809205
460139.999999999,-3789205
520140,-4049205
530140,-4089205
540140.000000001,-4109205
550140,-4119205.00000001
570140,-4159205
580140.000000001,-4069205
580140,-4049205
580139.999999999,-4119205
590139.999999999,-4129204.99999999
610140,-3759205
600139.999999999,-4139205
600140,-4159205
610140.000000001,-4109205
610139.999999999,-4119205
610140,-4069205
620140.000000001,-4089205.00000001
650140.000000002,-4029205
670140,-4029205
670140.000000002,-4209205
710140,-4059205
710140,-4169205.00000001
740140,-4099205
760139.999999998,-4109205
780140.000000002,-3819205
780140.000000001,-4099205
780140.000000001,-4229205
810140.000000001,-4179205
850140,-4119205
880140,-4139205
890140,-4179205
890140.000000001,-4229205
900140,-4239205
910140.000000001,-4179205
920140.000000001,-4109204.99999999
930140,-4149205.00000001
930140.000000001,-4219205
910140.000000001,-4529205
910140,-4539205
930140,-4489205
920140,-4579205
930140,-4589205
990140,-3919205
950139.999999999,-4509205
1000140,-3969205.00000001
990140.000000002,-4069205
990140.000000001,-4159205
950140,-4659205
990140,-4239205
950140,-4689205
950140,-4649205
950139.999999999,-4699205
1000140,-4179205
1020140,-4019205
960140.000000001,-4709205
960140.000000001,-4729205
1010140,-4189205
1030140,-4069205
990140.000000003,-4509205
1020140,-4169205
1010140,-4269205
1040140,-3959205
1040140,-4079205
1050140,-3969205
1050140,-4129205
1060140,-4119205
1270140,-1919204.99999999
1070140,-4299205
1070140,-4289205
1090140,-4049205
1100140,-3989205
1070140,-4309205
1080140,-4209205
1110140,-4069205
1100140,-4189205
1070140,-4559205
1100140,-4289205.00000001
1140140,-3989205
1120140,-4159205
1130140,-4199205
1100140,-4549205
1090140,-4589205
1090140,-4669205
1080140,-4819205.00000001
1140140,-4209205
1110140,-4569205
1090140,-4759205.00000001
1140140,-4249205
1170140,-4089205
1160140,-4209205.00000001
1130140,-4619205
1110140,-4769205
1170140,-4219205.00000001
1120140,-4759205
1120140,-4749205
1130140,-4659205
1140140,-4629205
1190140,-4209205.00000001
1200140,-4129205
1200140,-4199205
1170140,-4539205.00000001
1220140,-4009204.99999999
1150140,-4749205
1170140,-4629205
1240140,-3999205
1170140,-4719205
1230140,-4169205
1230140,-4179205
1250140,-4019205
1250140,-4009205
1190140,-4689205
1260140,-4029205
1220140,-4439205
1270140,-4049205
1200140,-4659205
1280140,-3969205
1260140,-4149205.00000001
1270140,-4079205
1440140,-2619205
1210140,-4679205
1270140,-4119205
1270140,-4199205
1290140,-4119204.99999999
1300140,-4019205
1290140,-4149205
1320140,-3969205
1310140,-4159204.99999999
1300140,-4199205
1330140,-3989205
1310140,-4179205
1320140,-4149205
1320140,-4139205
1340140,-3969205
1350140,-3949205
1350140,-3939205
1350140,-3929205
1360140,-3949205
1340140,-4089205
1390140,-3719205
1360140,-3909205
1360140,-3939205
1370140,-3939205
1370140,-3929205
1400140,-3679205
1380140,-3859205.00000001
1370140,-3969205
1530140,-2579205
1370140,-3959205
1570140,-2359205
1380140,-3959205
1440140,-3489205
1380140,-3939204.99999999
1370140,-4089205
1390140,-3959205
1400140,-3909205
1550140,-2639205
1400140,-3899205
1380140,-4139205
1380140,-4109204.99999999
1400140,-3999205
1410140,-3929205
1420140,-3849205
1380140,-4209205
1410140,-3959205.00000001
1420140,-3959205
1400140,-4189204.99999999
1430140,-3909205
1560140,-2869205
1440140,-3849205
1460140,-3849204.99999999
1460140,-3879205
1480140,-3729205.00000001
1450140,-4049205
1460140,-4009205
1470140,-3959205
1480140,-3939205
1510140,-3749205
1660140,-2619205
1510140,-3779204.99999999
1510140,-3889205.00000001
1680140,-2619205
1510140,-3929205
1520140,-3889205
1550140,-3749205
1540140,-3839205.00000001
1570140,-3789205
1700140,-2799205
1610140,-3529205
1620140,-3419205
1580140,-3809205
1590140,-3789205
1630140,-3589205
1740140,-2809205
1660140,-3449205
1620140,-3739205.00000001
1740140,-2889205
1670140,-3429205
1680140,-3409205
1710140,-3359205
1790140,-2779205
1730140,-3389205
1720140,-3519205.00000001
1820140,-2809205
1740140,-3429205
1710140,-3639205
1720140,-3649205.00000001
1850140,-3119204.99999999
1860140,-3099205
1870140,-3019205.00000001
1880140,-2999205
1860140,-3139205
1870140,-3149204.99999999
1840140,-3349205.00000001
