"Longitude","Latitude"
280140.000000001,-3929205
680139.999999999,-4129205
750140,-4079205
860140,-4109205
870140,-4039205
860139.999999999,-4219205
870139.999999999,-4029205
940140.000000001,-4089205
960140.000000003,-4159205
990140.000000001,-4179205
960139.999999999,-4649205
1000140,-4189205
1030140,-3869204.99999999
1030140,-4099205
1020140,-4209205
1040140,-4069205
1040140,-4079205
1060140,-4079204.99999999
1080140,-4089204.99999999
1090140,-4049205
1100140,-4019205
1100140,-4029205
1100140,-4109205
1100140,-4229205
1120140,-4059205
1120140,-4069205
1130140,-4029205
1120140,-4199205
1140140,-4019205
1140140,-4119205
1190140,-3669205
1140140,-4199205
1160140,-4019205
1110140,-4599205.00000001
1110140,-4539204.99999999
1170140,-3989205
1160140,-4209205.00000001
1170140,-4169205
1170140,-4219205.00000001
1190140,-3999205
1190140,-4009204.99999999
1120140,-4749205
1200140,-3949205
1130140,-4679205
1130140,-4739205
1210140,-3979205
1200140,-4129205
1200140,-4179205
1160140,-4699205
1230140,-4009205
1230140,-3989205
1160140,-4719205
1210140,-4199205
1230140,-3999205
1230140,-4019205
1220140,-4179205
1250140,-3989205
1230140,-4109205
1230140,-4189205
1250140,-4159204.99999999
1260140,-3999205
1300140,-3789205
1290140,-3929205
1270140,-4059205
1270140,-4139205
1270140,-4129205
1270140,-4119205
1270140,-4109205
1270140,-4169205
1330140,-3689205
1280140,-4199205.00000001
1290140,-4099205.00000001
1300140,-3979205
1320140,-3899205.00000001
1300140,-4049205
1320140,-3949205
1300140,-4119205
1300140,-4139205
1310140,-4059205
1300140,-4159205
1330140,-3969205.00000001
1340140,-3939205
1370140,-3769205
1350140,-3939205
1350140,-3959205
1330140,-4119205
1340140,-4089205
1370140,-3829205
1360140,-3939205
1410140,-3489205
1420140,-3489205
1360140,-3929205
1380140,-3809205
1370140,-3939205
1370140,-3929205
1390140,-3749205
1430140,-3489205
1370140,-3949205
1350140,-4159205
1350140,-4169205
1410140,-3689204.99999999
1380140,-3939204.99999999
1370140,-4069205
1440140,-3479205
1440140,-3529205
1400140,-3899205
1400140,-3919205
1430140,-3729205
1410140,-3899205
1410140,-3929205
1420140,-3849205
1400140,-4019205
1440140,-3759205.00000001
1420140,-3919205
1480140,-3459204.99999999
1450140,-3729205.00000001
1450140,-3779205
1470140,-3629205.00000001
1440140,-3829205
1430140,-3959205
1410140,-4129204.99999999
1440140,-3909205
1470140,-3699205
1460140,-3839205.00000001
1460140,-3869204.99999999
1480140,-3699205
1480140,-3749205
1440140,-4059205
1440140,-4029205
1480140,-3729205.00000001
1500140,-3559205
1460140,-3929205
1490140,-3729205
1490140,-3669205
1490140,-3759205.00000001
1530140,-3389205
1450140,-4049205
1500140,-3709205
1490140,-3779205
1500140,-3759205
1520140,-3679205
1490140,-3879205
1500140,-3779205
1510140,-3719204.99999999
1510140,-3769205
1500140,-3859205
1530140,-3639205
1500140,-3899205
1530140,-3789205
1540140,-3719205
1520140,-3909205
1530140,-3819205
1620140,-3249205.00000001
1600140,-3389205
1550140,-3809204.99999999
1600140,-3429205
1600140,-3409205
1600140,-3479204.99999999
1610140,-3359205
1560140,-3779205
1620140,-3379205
1610140,-3429205
1610140,-3479205
1580140,-3719205
1620140,-3459205
1620140,-3479205
1630140,-3369205
1630140,-3429205
1590140,-3779205
1640140,-3419205
1650140,-3379205
1650140,-3409205
1640140,-3459205
1650140,-3449205
1670140,-3319205
1660140,-3429205
1660140,-3399205
1670140,-3429205
1640140,-3609205
1670140,-3379205
1680140,-3309205
1690140,-3299205
1680140,-3389204.99999999
1680140,-3429205
1680140,-3409205
1690140,-3349205
1690140,-3389205.00000001
1690140,-3439205
1700140,-3369205
1710140,-3309204.99999999
1720140,-3239205
1720140,-3309205
1730140,-3239204.99999999
1690140,-3529205
1720140,-3289205
1710140,-3439205
1740140,-3259205
1720140,-3419204.99999999
1740140,-3279205
1760140,-3229205
1720140,-3489205
1720140,-3529205
1740140,-3429205
1760140,-3329205
1780140,-3189205
