"Longitude","Latitude"
-999860,-1669205
-939860,-1689205
-909860.000000001,-1879204.99999999
-919860.000000001,-1749205
-899859.999999999,-1679205
-899860,-1589205
-799859.999999999,-1619205
-769859.999999999,-1579205
-749860,-1829205
-709859.999999999,-1869205
-669860.000000001,-1769205
-639860.000000001,-1679205
-629860,-1709205
-629860,-1699205
-609860,-1849205.00000001
-599860,-1859205.00000001
-459860,-1639205
-419860,-1559205
-419860.000000001,-1529205
-419860.000000001,-1249205
-419860.000000001,-1399205
-419860.000000001,-1239205
-409859.999999997,-1199205
-399859.999999999,-1209205
-379860,-1219205.00000001
-369860.000000001,-1399205
-359860.000000001,-1509205
-369860,-1229205
-359860.000000001,-1389205
-359860.000000001,-1219205.00000001
-349859.999999999,-1419205
-339859.999999999,-1239205.00000001
-329860,-1349205
-319859.999999999,-1329205
-309860,-1659205
-319859.999999999,-1219205
-309859.999999998,-1689204.99999999
-269860,-1459205
-249859.999999999,-1479205
-249860,-1379205
-229859.999999999,-1189205
-229860.000000001,-1179205
-199860,-1509205
-189860.000000001,-1439205
-189860.000000001,-1189205
-179860,-1469205
-169859.999999997,-1449205
-169860.000000001,-1429205
-149860,-1459205
-149860.000000001,-1299205
-129859.999999997,-1399205
-129859.999999999,-1299205
-119859.999999999,-1409205
-119860.000000001,-1289205
-119860.000000001,-1419205
-109860.000000001,-1349205
-99859.9999999976,-1499204.99999999
-89859.9999999987,-1459205
-9859.99999999965,-1279205
10140.0000000014,-1629205
20140.0000000012,-1499205
30139.9999999999,-1279205
100140.000000001,-1519205
150140.000000001,-1789205
200140,-1329205
210140.000000004,-1789205
270140.000000001,-1499205
270139.999999999,-1489205
270140.000000001,-1349205
270140.000000001,-1309205
280139.999999999,-1479205
300140,-1309205
300140.000000001,-1289204.99999999
310139.999999999,-1319205
380140.000000001,-1759205
400139.999999999,-1849205.00000001
870139.999999999,-1369205
880139.999999999,-1359205
910140,-1329205
920140.000000001,-1219205
940140.000000004,-1179205
940140,-1199205
940140.000000002,-1209205
930139.999999998,-1229205
940140.000000004,-1239205
940139.999999999,-1249205
940140,-1279205
950140.000000001,-1159205
950140,-1269205
980139.999999998,-1209205.00000001
980140,-1289205
980140,-1299205
990140,-1349205
990140,-1399205
990140.000000001,-1429205
1000140,-1319204.99999999
1000140,-1379205
1010140,-1339205
960140.000000001,-2109205
1020140,-1379205
1020140,-1409205
990140.000000003,-2049205.00000001
990140,-2079205
1040140,-1679205.00000001
1040140,-1909205
1080140,-1869205
1100140,-1729205
1090140,-1959205
1180140,-1629205
1180140,-1639205
1190140,-1679205
1190140,-1789205
1200140,-1799205
1210140,-1759205
1210140,-1719205
1210140,-1819205
1220140,-1729205
1220140,-1769205
1220140,-1809205
1220140,-1779205
1200140,-1979205.00000001
1210140,-2009205
1220140,-1899205.00000001
1220140,-1919205
1230140,-1909205
1230140,-1929205
1240140,-1879205
1240140,-1849205.00000001
1230140,-1989205.00000001
1230140,-1979205
1240140,-1939204.99999999
1240140,-1919205.00000001
1250140,-1859205
1240140,-2009205
1250140,-1999205
1260140,-1909205
1270140,-1859205
1260140,-1969205
1270140,-1949205
1270140,-1899205
1260140,-2019205
1270140,-2009205
1270140,-1999205
1280140,-1909205.00000001
1270140,-1979205
1280140,-1929205
1280140,-1969205
1280140,-2019205
1270140,-2089205
1280140,-2099205
1280140,-2089205
1290140,-2019205
1290140,-2029205
1300140,-2029205
1350140,-2149205
1520140,-2579205
1520140,-2669205
1520140,-2649205
1500140,-3079205
1420140,-4159205
1520140,-3779205
1710140,-2559205
1560140,-3809205
1560140,-3829205
1570140,-3799205
1580140,-3739204.99999999
1580140,-3769205
1580140,-3789205
1590140,-3779205
1590140,-3759205
1600140,-3749205
1710140,-2919205
1780140,-3169205
1790140,-3259205
1810140,-3219205
1830140,-3109205
1860140,-2979205
1840140,-3129205
1850140,-3069205
1850140,-3049205
1870140,-2949205
1880140,-2899205
1870140,-2999205
1870140,-3039205
1880140,-2939205
1870140,-3019205.00000001
1850140,-3139205
1880140,-2999205
1810140,-3429205
1890140,-2899205
1900140,-2889205
1860140,-3129205
1860140,-3219205.00000001
1860140,-3239205
1850140,-3339205
1870140,-3239205
1860140,-3269205
1870140,-3219205
1890140,-3089205.00000001
1880140,-3189205
1890140,-3129205
1860140,-3309205
1880140,-3209205
1900140,-3129205
