"Longitude","Latitude"
1060140,-4129204.99999999
1080140,-4159205
1080140,-4189205
1090140,-4169204.99999999
1100140,-4179205
1110140,-4119205
1120140,-4109205
1120140,-4169205
1140140,-4069205
1130140,-4189205
1130140,-4159205
1160140,-4149205
1170140,-4129205
1180140,-4109205
1190140,-4069205
1190140,-4099205
1200140,-4139205
1240140,-4139205
1240140,-4119204.99999999
1250140,-4089205.00000001
1260140,-3999205
1260140,-4129205
1270140,-4039205
1260140,-4119205.00000001
1260140,-4109205
1270140,-4059205
1270140,-4099205
1280140,-4009205
1290140,-4049205
1290140,-3999205
1290140,-4039205.00000001
1290140,-4069205
1300140,-3959205
1300140,-3979205
1310140,-3959205
1310140,-4049205
1310140,-4009205
1320140,-3989205
1320140,-3979205
1320140,-3949205
1320140,-3969205
1310140,-4119205
1330140,-3959205
1310140,-4139205
1340140,-3959205
1340140,-3939205
1340140,-3969205
1340140,-3979205.00000001
1340140,-3949205
1350140,-3929205
1340140,-3989205
1350140,-3949205
1330140,-4139205
1350140,-3959205
1380140,-3719205
1360140,-3999204.99999999
1370140,-4089205
1380140,-4069205
1370140,-4139205
1400140,-3949205
1380140,-4119205
1380140,-4109204.99999999
1400140,-3979204.99999999
1400140,-3969205
1400140,-4009205
1400140,-3999205
1410140,-3969205
1460140,-3769205
1470140,-3879205
