"Longitude","Latitude"
950140,-1329205
1080140,-2239205
1120140,-1879205
1150140,-1589205
1150140,-1599205
1170140,-1699205
1210140,-1719205
1520140,-2259205
1540140,-2259205
1540140,-2269205
1550140,-2269205
1550140,-2339205
1580140,-2499205
1610140,-2549205
1620140,-2589205
1580140,-3249204.99999999
1590140,-3269205
1680140,-2629205
1660140,-2929205
1690140,-2779205
1710140,-2879205
1700140,-2999205
1750140,-2729205
1710140,-3029205
1720140,-3049205
1760140,-2889205
1780140,-2779205
1750140,-3029205
1760140,-2959205
1790140,-2769204.99999999
1760140,-3029205
1750140,-3119204.99999999
1770140,-3009205
1760140,-3129205
1770140,-3039205
1750140,-3179205
1760140,-3169205
1780140,-3039205
1790140,-2999205
1760140,-3219205
1770140,-3209204.99999999
1810140,-2989205
1830140,-2819205
1800140,-3069205
1790140,-3169205
1800140,-3119205
1840140,-2919205
1810140,-3119205
1800140,-3169205
1810140,-3099205
1830140,-2999205.00000001
1820140,-3079205
1800140,-3219205
1810140,-3209205
1810140,-3159205
1820140,-3119205
1840140,-3109205
1860140,-3169205
