"Longitude","Latitude"
-1159860,-3509205
-49860.0000000012,-3489205
140.000000000279,-3369205
60140.0000000014,-3499205
70139.9999999995,-3519205
80139.9999999993,-3489205
90139.999999999,-3579205
110139.999999999,-3459205
110139.999999999,-3559205
120140,-3499205
120140,-3589205
130140,-3389205
130140,-3529205
130140,-3559205
130140,-3609205
130140,-3439205
140139.999999999,-3609205
140140,-3539205
140140.000000003,-3589205
140140,-3509205
160140,-3509205
170140,-3629205.00000001
170140,-3509205
180140.000000001,-3489205
180140,-3649205
180139.999999999,-3589205.00000001
180140.000000001,-3519205
190140,-3599204.99999999
190140,-3659205
190140,-3539205
200139.999999999,-3589205
200139.999999999,-3609205.00000001
210139.999999999,-3519205.00000001
220140.000000002,-3609205
230139.999999999,-3549205
240140.000000003,-3609204.99999999
250140.000000001,-3619205
260140,-3619205
260140,-3399205
270140.000000001,-3399205
280140,-3609205
290140.000000001,-3239205
290140,-3599205
300140.000000001,-3599204.99999999
320140.000000002,-3219205.00000001
320139.999999999,-3529205
320140.000000002,-3609205
320139.999999999,-3749205
330140,-3519205
330139.999999999,-3609205
340139.999999999,-3529205.00000001
360139.999999999,-3189205
350140,-3549205
360140,-3559205
350140,-3719205
360140.000000002,-3699205
380140.000000001,-3179205
370140,-3629205
380140,-3659205
380139.999999999,-3739205
390140,-3739205
390140.000000001,-3719205
390140.000000001,-3759205.00000001
400140,-3729205
400140,-3699205
410139.999999999,-3729205
460140.000000001,-3209205
480140,-3829205
480140.000000001,-3809205
490140.000000001,-3809205
510139.999999999,-3439205
500140.000000001,-3799205
500140,-3819205
520140,-3809205
570140.000000003,-3399205
580140.000000001,-3689205
580140.000000001,-3739204.99999999
600140.000000002,-3649205
610140.000000001,-3639205
610140.000000001,-3749205
660140.000000004,-3029205
620140,-3739205
630140.000000001,-3729205
630140.000000001,-3659205
640140,-3639205
640139.999999999,-3679205.00000001
640139.999999999,-3729204.99999999
640139.999999999,-3659205
650140,-3699205
660139.999999999,-3639205
670140.000000001,-3749205
670139.999999999,-3779205
680139.999999999,-3839205
690140.000000001,-3759205
690140.000000001,-3829205
700139.999999999,-3829205
700139.999999999,-3819205
720139.999999998,-3599205
700140.000000001,-3839205
710140,-3799205
710140,-3689205
720140.000000001,-3689205
720140,-3719205
730140.000000001,-3699205
720140,-3889205
720139.999999999,-3839205
740140.000000002,-3589205
730139.999999999,-3889205
760140,-3659205
740139.999999999,-3889205
750139.999999999,-3769205
770140.000000003,-3559205
750139.999999999,-3849205
760140.000000002,-3819205
790140,-3549205
790140,-3679205
790140.000000001,-3729205
790140.000000001,-3759205
820139.999999999,-3589205
820140,-3769205
820140,-3799205
840140,-3659204.99999999
870140,-3579205
870140,-3789205
870140,-3809205
870139.999999999,-3859205
1120140,-3239205
1110140,-3479205
1400140,-3119205
