"Longitude","Latitude"
-1479860,-3859205
-879860,-1599205
140140.000000002,-3759205
150140,-3769205
150140.000000002,-3809205
160139.999999999,-3759205
160140,-3809205
170140.000000001,-3769205
180140,-3759205
200140.000000003,-3749205
240140,-3669205
250140,-3929205
260140.000000003,-3939205
290140,-3939205
300140.000000001,-3889205
320140.000000002,-3819205
320139.999999999,-3909205
330139.999999999,-3809205
360140.000000003,-3919205
380140.000000003,-3549205
380139.999999999,-3589205
380139.999999999,-3569205.00000001
370140.000000001,-3899205
380140,-3609205
390140.000000002,-3559205
390140,-3619205
380140,-3889205
400140.000000001,-3619204.99999999
390140,-3899205
390140.000000002,-3879204.99999999
390139.999999999,-3889205
400140,-3879205
410139.999999999,-3899205
410140,-3889205
410140.000000001,-3879205
410140.000000001,-3849205
430139.999999999,-3419205
420140.000000001,-3639205
420140,-3839205
410140.000000001,-3859205
410140.000000003,-3869205
430139.999999999,-3449205
420140,-3829205
420140,-3849205
420140.000000001,-3699204.99999999
420139.999999999,-3869205
430140.000000003,-3709205
420140.000000001,-3859204.99999999
430140.000000003,-3819205
430140.000000002,-3859205
430140.000000001,-3829205
430140,-3849205
430140,-3839205
430140,-3809205
430140,-3799205
430139.999999999,-3869205
440140.000000001,-3819205
440139.999999999,-3829205
440140.000000001,-3799205
440139.999999999,-3809205
440140.000000001,-3839205
440140.000000001,-3869205
450140,-3819205
450140,-3739205
450140.000000001,-3839205
450140,-3799205
460139.999999999,-3679205
450140,-3769205
450140,-3829205
460139.999999999,-3779205
460139.999999999,-3709205
460140.000000003,-3829205
460140.000000001,-3799205
460140,-3819205
470140,-3849205
470140.000000003,-3799205
530140.000000002,-3929205
540139.999999999,-3989205
540140.000000002,-4059205
540140.000000003,-3979205
550140.000000001,-4049205
550140.000000001,-4029205
560139.999999999,-3979205
560140.000000002,-4069205.00000001
560140,-4119205.00000001
560140,-4059205
570140,-4039204.99999999
570140.000000003,-3959205
570140,-4159205
580140.000000002,-3979205
580140.000000001,-4029205
580140.000000001,-4129205
580140.000000002,-3999205
580139.999999999,-4119205
580140,-4089204.99999999
590140,-4079205
590140,-4059205
590139.999999999,-4139205
590140,-4159205
590140,-4149205
590139.999999999,-4099205
590140.000000001,-4109205
600140,-4039205
600139.999999999,-4069205
600140.000000003,-4089205.00000001
610139.999999999,-3999205
610140,-4059205
600140,-4119205.00000001
610139.999999999,-4099205.00000001
610140.000000001,-4169205
610140,-4079205
610140,-4019205
610140.000000002,-4049205
620140.000000001,-3979205
610140.000000001,-4179205
620140.000000001,-4089205.00000001
630140,-3969205
620140.000000001,-4029205
630140.000000002,-3949205.00000001
640140,-4019205
630140,-4179205
640140.000000003,-4029205
650140.000000002,-4009205
650139.999999999,-4179205
660140,-3999205
650139.999999999,-4199205.00000001
660139.999999999,-4209205.00000001
680139.999999999,-4109205
680140.000000002,-4009205
670140.000000001,-4219205
690140.000000001,-4029205
700140.000000001,-3999205
700139.999999999,-4039205
700140,-4009205
710140,-4029205
710140.000000001,-4019205
710140.000000001,-4149205
710140,-4169205.00000001
730139.999999999,-4149205
740140,-4089205
740140.000000002,-4129204.99999999
740140,-4099205
740140.000000001,-4079205.00000001
740140.000000003,-4139205
750139.999999999,-4069205
750140.000000001,-4119205
760140.000000003,-4039205
760140.000000001,-4059205
760140.000000001,-4079205
760140,-4099205
760139.999999999,-4089205.00000001
760139.999999998,-4109205
770140,-4069205
770139.999999999,-4169205
780140.000000001,-4079205
780140,-4089205
780140.000000003,-4249205
790140,-4099205
790140.000000003,-4159205
810140,-4049205
800140,-4259205
800140.000000001,-4249205
810140,-4109205
810140,-4099205
820140,-3999205
830140.000000001,-4029205
830140,-4199205
840140,-4019205
860140,-4019205
840139.999999999,-4229205.00000001
860139.999999999,-4009205
870140,-4039205
860140,-4109205
870140.000000001,-4079205
870139.999999999,-4159205
870140,-4049205
880140.000000001,-3959204.99999999
880139.999999999,-4129205
860139.999999999,-4409205
890140.000000003,-4199205
900139.999999999,-4079205
890139.999999999,-4219205
900139.999999999,-4169205
900140,-4239205
910140.000000001,-4089205
910140.000000001,-4179205
920140.000000001,-4059205
920140.000000001,-4189204.99999999
930140,-4149205.00000001
910140,-4539205
960140,-4069205
960140.000000001,-4109205
970139.999999999,-4159205
970139.999999999,-4179205
980140,-4149205
980140.000000001,-4239205
980140.000000002,-4219205
1150140,-2279205
1160140,-2279205
990140.000000001,-4139205
950140,-4609205
990140,-4169205
1210140,-1809205
1000140,-4149205
1000140,-4179205
1000140,-4189205
1000140,-4239205
1010140,-4169205
1030140,-3989205
1010140,-4249205
1030140,-4069205
1030140,-4089205
990139.999999999,-4519205.00000001
1030140,-4199204.99999999
1030140,-4169205
990140.000000002,-4699205
1050140,-4029205
1050140,-3949205
1050140,-4069205
1050140,-4169205.00000001
1060140,-4119205
1070140,-3959205
1070140,-4049205
1110140,-3549205
1050140,-4249205
1030140,-4589205
1020140,-4619205
1080140,-4069205
1030140,-4649205
1090140,-4019205.00000001
1090140,-4039205
1100140,-3989205
1120140,-3779205
1040140,-4599205
1100140,-4009205
1120140,-3859205
1070140,-4309205
1080140,-4319204.99999999
1100140,-4069205
1100140,-4089205
1100140,-4079205.00000001
1060140,-4589204.99999999
1050140,-4679205
1100140,-4209205
1090140,-4299205.00000001
1090140,-4309205
1120140,-4059205
1120140,-4079205
1060140,-4689204.99999999
1120140,-4029205
1110140,-4179205
1070140,-4559205
1060140,-4669205
1140140,-4009204.99999999
1070140,-4699205
1070140,-4679205
1080140,-4599205
1140140,-4069205
1120140,-4209205
1130140,-4199205
1130140,-4139205
1080140,-4649205
1070140,-4779205
1080140,-4719205
1070140,-4769205
1090140,-4659205
1100140,-4549205
1100140,-4539205
1150140,-4029205
1090140,-4619205
1100140,-4629205
1160140,-4009205
1100140,-4679205
1090140,-4799205
1090140,-4769205
1160140,-4079205.00000001
1090140,-4759205.00000001
1100140,-4649205
1100140,-4639205
1170140,-3999205
1150140,-4239205
1150140,-4249205
1160140,-4199205
1110140,-4659205
1190140,-3909204.99999999
1120140,-4589205
1160140,-4189205
1120140,-4599205
1100140,-4809205.00000001
1100140,-4779204.99999999
1120140,-4579205.00000001
1170140,-4169205
1170140,-4209205
1170140,-4129205
1190140,-3999205
1110140,-4749205
1180140,-4119205
1120140,-4709205
1170140,-4219205.00000001
1120140,-4739205
1120140,-4729205
1120140,-4769205
1130140,-4639205
1120140,-4759205
1200140,-3969205
1130140,-4659205
1130140,-4669205.00000001
1200140,-4049205
1140140,-4649205
1150140,-4589205
1200140,-4119205
1210140,-3999205
1140140,-4739205
1220140,-3979205
1200140,-4129205
1150140,-4669205
1160140,-4599205
1200140,-4229205
1150140,-4709205
1170140,-4529205
1170140,-4519205
1230140,-4009205
1230140,-3999205
1150140,-4779205
1220140,-4109205
1250140,-3909205
1170140,-4689205
1170140,-4719205
1250140,-3999205
1240140,-4039205
1250140,-4019205
1170140,-4769205
1170140,-4729205
1240140,-4079205
1200140,-4519205
1170140,-4779205
1200140,-4549205
1240140,-4199205
1210140,-4449205.00000001
1240140,-4189205
1270140,-3909205
1210140,-4479205
1250140,-4119205
1260140,-3979205
1210140,-4429204.99999999
1210140,-4529205
1190140,-4669205
1220140,-4439205
1260140,-4099204.99999999
1270140,-3989205.00000001
1220140,-4499205.00000001
1250140,-4179205
1260140,-4129205
1280140,-3949205
1260140,-4109205
1280140,-3969205
1210140,-4629205
1220140,-4539205
1230140,-4489205
1210140,-4679205
1220140,-4609205
1210140,-4649205
1230140,-4479205
1290140,-3959205
1230140,-4549205
1280140,-4119205
1290140,-3999205
1290140,-4089205
1320140,-3799205
1290140,-4129205
1330140,-3779205
1330140,-3759205
1250140,-4489205
1300140,-4049205
1300140,-4039205
1290140,-4109205
1310140,-3959205
1280140,-4209205
1290140,-4189205
1290140,-4149205
1310140,-4029205
1320140,-3969205
1340140,-3809205
1320140,-3959205.00000001
1300140,-4199205
1310140,-4159204.99999999
1310140,-4149205.00000001
1340140,-3929205
1350140,-3909205
1390140,-3569205
1350140,-3959205
1340140,-4039205
1350140,-3949205
1350140,-3939205
1390140,-3629205
1390140,-3609205
1350140,-3929205
