"Longitude","Latitude"
390139.999999999,-3889205
410140.000000001,-3879205
410140.000000003,-3869205
420140,-3709205
420140,-3849205
430140,-3849205
430140,-3839205
430139.999999999,-3869205
450140.000000001,-3839205
460139.999999999,-3789205
460140.000000002,-3809205
580140.000000002,-3999205
590139.999999999,-4139205
590139.999999999,-4099205
600140,-4049204.99999999
600140.000000001,-4109205
600140.000000001,-4019205
600140.000000003,-4089205.00000001
610140,-4059205
620140,-3989205
620140.000000001,-4089205.00000001
620140.000000001,-4119205
630139.999999999,-4019205
640139.999999999,-3999205
640140,-4099205
650140.000000002,-4019205
690140,-4049205
700139.999999999,-4039205
700140,-4119205.00000001
720140,-4079205
720140.000000003,-4069205
730140,-4129205.00000001
740140.000000001,-4069205
750140,-4059204.99999999
760140.000000001,-4079205
770139.999999999,-4089205
770139.999999999,-4169205
770140,-4159205.00000001
800139.999999999,-4099205
830139.999999999,-4049205.00000001
860140.000000001,-4049205
870140,-4039205
860140,-4109205
870140,-4019204.99999999
920140.000000001,-4189204.99999999
960139.999999999,-4239205
970139.999999999,-4229205
980140,-4059205
980140.000000001,-4209205
980140.000000001,-4189205
1000140,-4239205
1030140,-4209205
1050140,-4049205
1070140,-4049205
1080140,-4029205
1100140,-4009205
1100140,-4029205
1130140,-4079205
1140140,-3939205
1140140,-4019205
1160140,-3989205
1170140,-3959205
1140140,-4259205
1170140,-3969205
1180140,-3939205
1190140,-3909204.99999999
1150140,-4249205
1130140,-4619205
1180140,-4209205
1140140,-4629205
1230140,-4089205
1270140,-4109205
1270140,-4119205
1370140,-3929205
1370140,-3939205
1370140,-3949205
1540140,-3619205.00000001
1550140,-3619205
1620140,-3249205.00000001
1610140,-3659205
