"Longitude","Latitude"
-1789860,-3259205
-1739860,-3339205
-1729860,-3339205
-1719860,-3299205
-1679860,-3349205
-1639860,-3469205
-1649860,-3389205
-1639860,-3419205
-1649860,-3299205
-1639860,-3349205
-1639860,-3289205
-1629860,-3369204.99999999
-1629860,-3319205
-1609860,-3389204.99999999
-1569860,-3409205
-1549860,-3429205
-1559860,-3369205
-1549860,-3409205
-1559860,-3339204.99999999
-1549860,-3339205
-1549860,-3319205
-1559860,-3289205
-1509860,-3409205
-1539860,-3009205
-1529860,-3009205
-1409860,-3439205
-1399860,-3309205
-1379860,-3269205
-1379860,-3299205
-1379860,-3249205
-1379860,-3109205
-1349860,-3229205
-1339860,-3229205
-1309860,-3439205
-1299860,-3469205
-1269860,-3769205
-1339860,-2959204.99999999
-1349860,-2839205
-1339860,-2979205
-1279860,-3459205
-1269860,-3379205
-1239860,-3599205
-1239860,-3439205
-1209860,-3699205
-1209860,-3449205
-1189860,-3649205
-1199860,-3389205
-1199860,-3209205
-1239860,-2829205
-1219860,-2929205
-1159860,-3589205
-1169860,-3409205
-1209860,-2929205
-1149860,-3549205
-1139860,-3559205
-1109860,-3649205
-1079860,-3519205
-1079860,-3419205
-1079860,-3109205
-1029860,-3659205
-1029860,-3339205
-989860,-3679205
-1019860,-3349205
-999860,-3439205
-969860,-3579205
-929860,-3699205
-939860.000000001,-3009205
-839859.999999999,-3519205
-839859.999999999,-3249205
-789860,-3119205
-789859.999999999,-3089205.00000001
-759860,-3399205
-749860.000000001,-3399205
-719860.000000001,-3509205
-719860.000000001,-3529205
-709860,-3509205
-649860,-3469205
-639860,-3499205
-569859.999999999,-3279204.99999999
-559860,-3369205
-539859.999999999,-3469205
-529860,-3369205
-479859.999999999,-3459205
-469860.000000001,-3459205
-479860.000000001,-3109205
-429859.999999997,-3339205
-369859.999999999,-3449205
-349860,-3309205
-339860,-3339205
-309859.999999999,-3339205
-299860.000000001,-3419204.99999999
-289860,-3419205
-289859.999999998,-3329205
-229860,-3299205
-199859.999999997,-3419204.99999999
-189860,-3109205
-179860,-3449205
-179860.000000001,-3379205
-179859.999999999,-3359205
139.999999999049,-3339205
50139.9999999992,-3339205
90139.9999999991,-3239205
90140.0000000021,-3359205
120139.999999999,-3519205
140140,-3389205
150140,-3329205
170140.000000001,-2939205
180139.999999999,-3499205
180140,-3609205
200140.000000001,-3089205
200139.999999999,-3409204.99999999
210139.999999999,-3519205.00000001
220140.000000001,-3399205.00000001
230140,-3389205.00000001
230140,-3649205.00000001
240140,-3669205
250140.000000001,-3169205.00000001
250140.000000001,-3189205
260140,-3189205
260140.000000001,-3429205
270140.000000001,-3399205
280140,-3209205
290140.000000001,-3269205
280140,-3429205
290140,-3249205
290139.999999999,-3439205
300140.000000003,-3429205
310140,-3229205
310140,-3209204.99999999
330140,-2959204.99999999
330139.999999999,-3219205
320140,-3789205
350140.000000001,-3159205
340139.999999999,-3449205
380140.000000001,-3179205
380140,-3299205
410140.000000001,-3269205
430140.000000001,-3159205
430140.000000002,-3289205
430139.999999999,-3449205
450140,-3129205
480140,-3229205
500140.000000001,-3339205
510139.999999999,-3329205
520140,-3299205.00000001
520140,-3229205
520140.000000002,-3269205
520139.999999999,-3559205
520140.000000001,-3449205
540139.999999999,-3269205
530140,-3519204.99999999
540139.999999999,-3539205
560140.000000001,-3349205
550140,-3509205
560140,-3239205
550140,-3739204.99999999
570140.000000001,-3419205
550139.999999999,-3899205
580140,-3539204.99999999
600140.000000002,-2989205
600140,-3129205
590139.999999999,-3429205
660139.999999999,-3329205
690140.000000003,-3179205
690140.000000001,-3449205
700140,-3499205.00000001
700140,-3449205
720140.000000002,-3459205.00000001
730140.000000001,-3409205
730140.000000001,-3459204.99999999
720140,-3719205
720139.999999999,-3649205
760140,-3439205
770140.000000001,-3299205
790140.000000001,-3269205
790139.999999999,-3359205
790139.999999999,-3489205
840139.999999999,-3299205
880140.000000002,-3469204.99999999
940140.000000002,-3449205
990140,-3159205
990140.000000004,-3369205
1000140,-3349205
1010140,-3339205
1020140,-3389205
1020140,-3359205
1030140,-3389205
1050140,-3399205
1100140,-3329205
1120140,-3329205
1130140,-3329205
1140140,-3329205
1180140,-3319205
1220140,-3119205
1230140,-3319205
1500140,-3389205
