longitude,latitude
114.025,-21.953
114.1033333,-21.81222222
114.1666667,-21.81444444
114.3833,-22.6667
114.3833333,-22.66666667
115,-22
115.05,-22
115.3266667,-20.88305556
115.497223,-22.540746
115.7210749,-22.1423011
115.7975,-23.0553
115.97,-23.22
116.1762004,-22.2077226
116.3763889,-21.82055556
116.6,-25.3
116.9666667,-26.01666667
117.1663773,-21.3572176
117.2894067,-22.29645487
117.3,-20.8667
117.3347222,-26.37138889
117.370278,-22.639722
117.370455,-22.639794
117.5,-26.5
117.8333,-26.1
117.8482955,-22.4181174
118.1066667,-26.36638889
118.1327414,-22.63006078
118.2275,-27.9883
118.4166667,-24.61666667
118.53,-22.85
118.55,-26.92
118.680033,-20.756797
118.6919,-23.0247
118.6919444,-23.02472222
118.715,-23.1342
118.715,-23.134
118.7184867,-23.17825414
118.7735723,-22.58699884
119.3063889,-23.07388889
119.37,-22.44
119.4166667,-23.09166667
119.5638556,-23.31977466
120.134376,-21.65980523
120.2247222,-26.58972222
120.3167,-26.6833
120.6333333,-20.63305556
120.6425,-23.8825
120.9166667,-28.54555556
120.9167,-28.5456
121.7147222,-30.33305556
122.244457,-26.384902
122.25,-26.3833
122.4388889,-26.11638889
124.593,-15.389
126.2013889,-14.88416667
126.6308333,-26.17416667
126.6333,-14.3897
127.6460933,-25.78290888
127.9833,-26.1167
127.9833333,-26.11666667
128,-26
128.0330556,-18.41472222
128.317761,-26.015418
128.8,-26
128.8,-26
128.9588889,-26.09277778
129.125,-26.165
129.2667,-20.4333
129.71772,-20.565391
129.7512671,-20.58192695
130.4036,-19.8181
130.4345648,-16.04859162
130.57,-23.65
130.95,-16.1
130.97,-14.12
130.9703,-14.1189
130.97047,-14.11904
131.0012656,-16.0942277
131.3,-22.3167
131.3,-22.3
131.35,-22.73
131.917721,-23.282054
132.3,-23.545
132.5,-24.5083
132.5,-24.5
132.6166667,-23.23333333
132.9302778,-23.27666667
133.15,-23.2833
133.2167,-23.4333
133.4512698,-24.31524234
133.5,-27.3
133.5838,-24.6286
133.7179247,-23.19857025
133.7667,-23.2333
133.8389,-23.7625
133.8566667,-23.51055556
134.0167,-23.4833
134.25,-24.3667
134.4179518,-25.86523923
134.4183,-22.8617
134.4183,-22.8617
134.434,-27.744
134.484401,-28.012611
134.4844012,-28.01261117
134.484402,-28.203445
134.484402,-28.203445
134.6833,-21.9167
134.75,-23.35
134.760226,-27.155384
134.867739,-28.932057
134.87,-26.25
134.9,-27.2
134.98,-28.35
135.0346073,-25.94856567
135.05,-23.95
135.12,-27.15
135.1667,-25.95
135.184167,-29.250833
135.2,-18.95
135.2386,-31.259
135.282741,-29.530945
135.284388,-27.165381
135.3833,-24.9667
135.3845888,-24.96522824
135.4012612,-24.99855361
