longitude,latitude
135.650556,-34.413056
141.7025,-38.2162
142.4667,-37.2167
142.55,-37.12
142.608863,-37.191762
146.776861,-36.747004
147.42871,-34.44025
147.428772,-34.440324
147.484354,-36.965333
148.478,-35.4689
148.75,-35.38333333
149.167646,-35.265314
149.35,-37.13
149.5,-37.73
149.62,-37
149.68,-37.27
149.8333333,-31.91666667
149.8583,-36.9958
149.8583,-36.9958
150.0333,-32.3
150.117631,-35.081973
150.119,-35.089
150.12,-35.08
150.134297,-35.090307
150.136,-35.0953
150.147,-35.0811
150.154853,-35.115307
150.176,-35.082
150.22,-35.17
150.25,-35.12
150.2527049,-35.17411932
150.3167,-35.1667
150.32,-35.17
150.3328,-35.1089
150.3328,-35.1089
150.3447301,-35.11577993
150.38,-34.9
150.4,-35.5
150.4,-34.8
150.4,-34.8
150.4167,-35.3833
150.42,-34.78
150.438,-35.4045
150.447,-33.73
150.4472,-33.7333
150.45,-35.4167
150.45,-35.4
150.45,-35.4
150.45,-35.3833
150.45,-35.38
150.45,-34.45
150.4666667,-34.63333333
150.4667,-35.35
150.4667,-35.35
150.47,-35.35
150.47,-35.35
150.47,-34.87
150.471,-34.636
150.48,-34.85
150.48,-34.77
150.4818572,-34.64634509
150.4822,-34.6433
150.4822,-34.6433
150.4829474,-34.64636761
150.4833,-34.85
150.4833,-34.7667
150.4840375,-34.64639012
150.5,-35.25
150.5,-35.25
150.5,-35.25
150.5167,-34.5167
150.5333333,-34.25
150.574,-34.966
150.58,-35
150.5833,-35
150.596,-34.8353
150.6,-34.97
150.6,-34.97
150.6,-34.9667
150.6,-34.96667
150.6,-34.88333333
150.6,-34.8833
150.6,-34.88
150.6,-34.87
150.6167,-34.85
150.6167,-34.85
150.6833333,-33.18333333
150.6981,-34.6372
150.8167,-33.45
150.9034438,-34.32163672
150.9884,-33.0903
151,-34.0667
151,-33.72
151.03,-33.75
151.04,-33.73
151.064,-33.764
151.0667,-33.75
151.0667,-33.5611
151.07,-34.07
151.07,-33.75
151.07,-33.75
151.07,-33.72
151.08,-33.93
151.08,-33.75
151.082,-33.764
151.0833,-33.7667
151.0833,-33.7583
151.0833,-33.7333
151.0833,-33.6667
151.092,-33.617
151.092,-33.617
151.097,-33.7444
151.1,-33.82
151.1,-33.67
151.1166667,-33.76666667
151.1166667,-33.65
151.117,-33.75
151.1333,-33.8833
151.13427,-33.715296
151.13427,-33.715296
151.15,-33.8167
151.15,-33.75
151.15,-33.7167
151.15,-33.63
151.159269,-33.731962
151.159269,-33.731962
151.1666667,-33.78333333
151.1666667,-33.78333333
151.1667,-33.7333
151.1667,-33.7167
151.1667,-33.7167
151.1667,-33.7167
151.176,-33.704
151.18,-33.77
151.18,-33.5
151.18,-33.28
151.18333,-33.5
151.1833333,-33.81666667
151.1833333,-33.76666667
151.191,-33.671
151.2,-33.85
151.2,-33.85
151.2,-33.8
151.2,-33.8
151.2,-33.8
151.2,-33.73333333
151.2,-33.52
151.2098729,-33.70431318
151.215448,-33.43385935
151.216,-33.72
151.2167,-33.8
151.2167,-33.7833
151.22,-33.8
151.22,-33.77
151.22,-33.75
151.22,-33.75
151.23,-33.73
151.23,-33.43
151.23,-33.43
151.2333,-33.4333
151.2333333,-33.75
151.2333333,-33.75
151.244,-33.8417
151.25,-33.7833
151.25,-33.7667
151.263,-33.8533
151.27,-33.7
151.27,-33.7
151.27,-33.68
151.2833333,-33.8
151.3,-33.72
151.323,-33.373
151.3667,-33.3833
151.37,-33.38
151.391,-33.406
151.392,-33.4
151.545,-33.033
151.575,-29.3083
151.682,-29.2047
151.687,-29.3372
151.706,-29.2572
151.72,-29.25
151.93,-32.63
151.93,-28.83
151.93,-28.83
151.947,-28.829
151.9667,-32.4667
152,-32.7417
152.85,-25.9333
152.9102778,-26.96083333
152.942,-26.9283
153,-27.5
153,-27.18
153.012,-26.0583
153.12,-25.87
153.3203,-29.5761
153.3569,-29.4761
