longitude,latitude
142.3167,-37.2833
142.3278,-37.2917
142.3278,-37.2917
142.32881,-37.2903
142.3333,-37.2944
142.3453,-37.3247
142.3453,-37.3247
142.4667,-37.2167
142.4814,-37.2312
142.55,-37.2167
143.72,-37.05
144.03,-37.33
144.1667,-37.8667
145.5667,-36.75
145.9333,-36.6
145.9333,-36.6
145.949,-36.83
145.949,-36.83
145.949,-36.83
145.949,-36.83
145.949,-36.83
145.949,-36.83
145.949,-36.83
145.949,-36.83
145.949,-36.83
145.949,-36.83
145.949,-36.83
145.949,-36.83
145.949,-36.83
145.949,-36.83
145.949,-36.83
145.95,-36.8333
145.95,-36.7167
146,-37.3333
146.05,-37.25
146.05,-36.85
146.05,-36.8167
146.051,-36.8244
146.051,-36.8244
146.051,-36.8244
146.051,-36.8244
146.051,-36.8244
146.051,-36.8244
146.051,-36.8244
146.051,-36.8244
146.051,-36.8244
146.051,-36.8244
146.051,-36.8244
146.051,-36.8244
146.051,-36.8244
146.051,-36.8244
146.051,-36.8244
146.1833,-36.8
146.3833,-36.65
146.413,-37.954
146.4167,-37.8667
146.4177,-41.53195
146.4236,-37.95
146.4333,-38.0167
146.4375,-37.95
146.4375,-37.95
146.438,-37.95
146.44,-37.95
146.45,-37.95
146.4833,-38.1
146.5167,-37.6667
146.5667,-42.6167
146.5833,-37.75
146.5833,-37.75
146.66771,-42.51529
146.7,-42.3
146.7167,-37.7
146.72,-37.7
146.76771,-42.33195
146.78,-37.65
146.7833,-37.65
146.83437,-42.43195
146.93437,-42.26529
146.95,-37.5667
146.9667,-37.8167
147.0167,-38.1
147.01768,-40.98194
147.02,-40.98
147.0291,-42.5489
147.03,-42.85
147.0333,-43.1833
147.0333,-43.1833
147.0333,-37.6
147.03437,-42.63195
147.05,-42.4
147.08437,-42.71529
147.08437,-42.71529
147.08437,-42.71529
147.1,-42.8
147.1,-42.8
147.1,-42.6
147.1,-42.4
147.11,-43.25
147.1125,-43.25
147.113,-43.25
147.12,-43.25
147.1235,-42.82
147.1361,-37.5708
147.15,-42.82
147.16771,-42.81529
147.2,-43.1
147.25,-42.83
147.2667,-42.6167
147.2667,-42.6167
147.26771,-42.61529
147.26771,-42.58195
147.26771,-42.56529
147.26771,-42.56529
147.27,-43.37
147.27,-42.95
147.27,-42.62
147.28437,-43.08195
147.28437,-43.08195
147.28437,-42.88195
147.29,-42.9
147.3,-43.1
147.3,-43
147.3,-42.9
147.3,-42.9
147.3,-42.9
147.3,-42.87
147.30493,-43.03945
147.3167,-37.3667
147.31771,-42.98195
147.31771,-42.98195
147.31771,-42.83195
147.31771,-42.81529
147.33,-43.05
147.33,-43.05
147.3333,-42.8333
147.3333,-42.8
147.3333333,-42.8333
147.33437,-42.83195
147.33437,-42.83195
147.33444,-42.832033
147.35,-42.78
147.36,-43.2622
147.36,-43.2622
147.37,-43.25
147.37,-43.23
147.3833,-43.2083
147.4,-43.2
147.4,-43.2
147.4,-42.8
147.4167,-43.2167
147.41771,-42.86529
147.45,-42.93
147.5,-42.8167
147.5,-42.8167
147.5,-42.8
147.5,-42.8
147.5166667,-42.98333333
147.53434,-41.51528
147.6,-42.5
147.6,-42.5
147.6333,-42.5167
147.6347,-42.5019
147.6347,-42.5019
147.65,-42.8
147.65,-42.52
147.65,-41.4667
147.659,-42.814
147.68436,-42.46528
147.7,-42.8
147.7,-42.5
147.7,-41.6667
147.7167,-41.6167
147.71768,-41.61528
147.71768,-41.61528
147.723,-41.6662
147.732,-41.4422
147.7735,-42.5944
147.78,-36.03
147.7833,-36.0333
147.7833,-36.0333
147.784339,-36.031993
147.79184,-41.69778
147.8,-37.1667
147.8167,-36.0167
147.8167,-36.0167
147.8167,-36.0167
147.82,-36.02
147.8333,-36.0333
147.85,-43.15
147.85,-43.15
147.8666667,-41.5167
147.8667,-41.5167
147.86768,-41.51527
147.8677,-42.56528
147.8677,-42.56528
147.867745,-41.515354
147.87,-41.52
147.887,-39.8758
147.8875,-39.8758
147.8875,-39.8758
147.9,-42.57
147.9,-42.5667
147.9177,-43.01528
147.925,-37.2917
147.93434,-41.61527
147.9667,-42.45
147.96768,-41.61527
148,-40
148.13433,-41.31527
148.134337,-36.215325
148.1667,-40.1167
148.17,-41.45
148.17,-37.22
148.1833,-41.5667
148.2,-41.3
148.2,-36.08
148.2094444,-36.075
148.2167,-40.0417
148.2197,-41.62
148.225,-41.544
148.2333,-36.0667
148.237,-36.065
148.237,-36.065
148.237,-36.065
148.237,-36.065
148.237,-36.065
148.237,-36.065
148.237,-36.065
148.237,-36.065
148.237,-36.065
148.237,-36.065
148.237,-36.065
148.237,-36.065
148.237,-36.065
148.237,-36.065
148.237,-36.065
148.237,-36.065
148.25,-41.65
148.25,-41.47
148.25,-41.32
148.25,-41.32
148.25767,-41.47249
148.2667,-37.4833
148.26767,-41.46527
148.27,-41.47
148.28,-42.13
148.28433,-41.26527
148.3,-42
148.3,-41.3
148.3,-41.25
148.31768,-42.13193
148.31768,-42.08193
148.33,-42.13
148.33434,-42.13193
148.4722,-37.2375
148.6111,-37.5903
148.9667,-35.55
149,-35.55
149.0056,-35.55
149.0056,-35.55
149.006,-35.55
149.3,-36.3833
149.3297,-36.38
149.33,-36.38
149.3333,-36.3833
149.37,-37.22
149.37,-36.4
149.3714,-36.3914
149.372,-36.39
149.3764,-37.5208
149.3917,-37.2806
149.3917,-37.2806
149.392,-37.2806
149.4167,-36.25
149.45,-37.3667
149.4542,-37.3111
149.4542,-37.3111
149.4542,-37.3111
149.4551,-37.30968
149.455165,-37.309763
149.458,-37.3083
149.5167,-36.4167
149.7333,-37.4833
149.7667,-37.5
149.77,-36.3
149.77,-36.3
150,-35.47
150,-35.4667
150.0167,-35.4833
150.0167,-35.4833
151.22,-33.25
