longitude,latitude
144.11825,-37.31586
144.1183,-37.3158
144.12,-37.3228
144.121,-37.3267
144.1214,-37.3267
144.1833,-37.85
144.2167,-37.2
144.25,-37.9167
144.25,-37.8667
144.2833,-37.1167
144.3,-37.12
144.3,-37.1
146.2167,-37.4167
146.2167,-36.9333
146.2333,-37.2667
146.2333,-37.2667
146.25,-36.9167
146.3667,-36.85
146.3705556,-36.84555556
146.5667,-37.5667
146.5722222,-37.71
146.6667,-37.5069
146.7,-37.4667
146.7,-37.4667
146.7333,-36.7167
146.75,-36.7667
146.8347,-37.3694
146.8347,-37.3694
146.835,-37.3694
146.8833,-37.8
146.92,-37.75
147.1167,-37.65
147.1667,-37.6667
147.1667,-37.6667
147.2,-37.75
147.25,-37.75
147.3,-36.75
147.4,-35.85
147.45,-36.05
147.45,-36.05
147.4667,-36.8667
147.4925,-36.9814
147.4944,-36.9819
147.55,-37
147.55,-37
147.7078,-36.1008
147.7139,-36.1278
147.7139,-36.1278
147.7167,-36.1
147.725,-37.1153
147.725,-37.1153
147.8167,-36.6667
148.0667,-37.05
148.2375,-36.9167
148.25,-37.08
148.25,-37.0667
148.25,-37.0667
148.2894,-37.5992
148.3167,-37.05
148.3211,-35.4828
148.3211,-35.4828
148.3519,-35.6392
148.3667,-35.9167
148.43,-35.93
148.4333,-35.9333
148.4333,-35.9333
148.43426,-35.9319
148.5333,-36.9667
148.5667,-36.35
148.5667,-34.9667
148.57,-35
148.575,-35.0667
148.5833,-35
148.6167,-34.9667
148.6506,-34.9736
148.6667,-35.4917
148.6833,-37
148.6833,-37
148.6833,-37
148.6986,-36.6597
148.7306,-36.6153
148.742,-35.38
148.75,-35.62
148.78,-35.42
148.78,-35.42
148.7833,-35.5
148.7833,-35.5
148.7833,-35.4833
148.8,-36.3
148.8,-35.45
148.8,-35.3333
148.8,-35.3333
148.8167,-35.4833
148.8167,-35.3083
148.8167,-35.3083
148.82,-35.3
148.825,-35.6333
148.825,-35.4083
148.825,-35.2333
148.8297,-35.2225
148.8297,-35.2225
148.831,-35.221
148.8333,-35.35
148.8333,-35.2667
148.8333333,-35.66666667
148.8333333,-35.66666667
148.85,-35.65
148.85,-35.65
148.85,-35.3167
148.9,-36.4667
148.9,-35.5667
148.9083,-35.4167
148.9333,-35.3167
148.9333,-35.3167
148.9333,-35.3167
148.9333,-35.3167
148.9614,-35.5931
148.9614,-35.5931
148.9667,-35.4667
148.9667,-35.3667
148.9958,-36.3153
149,-35.7833
149,-35.7833
149.0139,-36.8
149.0167,-35.8167
149.0347,-36.7806
149.0875,-34.7011
149.1,-35.2667
149.1,-35.2667
149.1,-35.2667
149.1,-35.2667
149.1,-35.2667
149.1,-35.2667
149.1,-35.2667
149.1,-35.2667
149.1,-35.2667
149.1,-35.2667
149.1,-35.2667
149.1,-35.2667
149.1,-35.2667
149.1,-35.2667
149.1,-35.2667
149.1,-35.2667
149.1,-35.2667
149.1,-35.26666667
149.1,-35.26666667
149.1106,-35.2644
149.1106,-35.2644
149.1117,-35.2725
149.1167,-36.2167
149.1167,-35.25
149.1167,-35.25
149.1244,-35.9119
149.1244,-35.9119
149.13,-36.23
149.1333,-35.6583
149.142,-34.52
149.1666667,-35.75
149.17,-35.72
149.2,-35.37
149.2,-35.37
149.2139,-35.3589
149.2167,-35.6583
149.2167,-35.3667
149.22,-35.6583
149.2333,-35.3667
149.2333,-35.35
149.25,-35.3833
149.25,-34.9167
149.2667,-35.75
149.2667,-35.75
149.2667,-35.3167
149.27,-35.75
149.27,-34.83
149.28,-35.73
149.2833,-35.7333
149.2833,-35.55
149.3,-35.6
149.3056,-35.3083
149.3333,-36.1792
149.35,-36.4167
149.35,-35.5333
149.3667,-35.7833
149.397,-36.175
149.4056,-36.2556
149.406,-36.2556
149.5,-35.5
149.58,-34.58
149.6,-34.6
149.6,-34.6
149.6,-34.6
149.8569,-34.2653
149.857,-34.2653
149.92,-34.07
150.2343795,-34.72390482
150.3919468,-34.34301988
150.3919468,-34.34301988
150.7667,-33.5
150.7667,-33.5
150.95,-33.6667
150.95,-33.6667
152.1333,-27.55
152.8667,-29.5333
150.6667,-33.6167
150.67,-33.62
150.67,-33.62
150.6819,-33.5528
150.704,-33.65
150.7042,-33.65
150.71,-33.65
150.7333,-33.5
150.75,-34.33
150.75,-33.72
150.75,-33.7
150.75,-33.7
150.75,-33.6667
150.7667,-33.6833
150.7667,-33.6833
150.77,-33.68
150.77,-33.68
150.78,-33.78
150.8,-33.62
150.8,-33.62
150.8,-33.6167
150.82,-33.5
150.82,-33.47
150.85,-33.65
150.85,-33.65
150.85,-33.65
150.85,-33.65
150.87,-33.97
150.87,-33.65
150.9,-33.9
150.9,-33.5833
150.9,-33.58
150.9,-33.48
150.92,-33.93
150.92,-33.92
150.92,-33.92
150.93,-33.47
150.93,-33.47
150.93,-33.47
150.93,-33.47
150.93,-33.47
150.93,-33.47
150.93,-33.47
150.9333,-33.4667
150.9333,-33.4667
150.9333,-33.4667
150.97,-33.95
150.98,-33.97
151.05,-33.87
151.0667,-32.7333
151.25,-33.7833
151.5,-32.82
151.505,-33.0533
151.57,-32.73
151.58,-32.92
151.6167,-28.7833
