"Longitude","Latitude"
1090140,-3039204.99999999
1260140,-3729205
1310140,-3709205
1300140,-3789205
1310140,-3769205
1440140,-2709205
1450140,-2779205
1450140,-2809205
1470140,-2739205
1480140,-2769205
1490140,-2779205
1500140,-2779205
1510140,-2769205
1490140,-2919205
1510140,-2789205
1500140,-2919205
1520140,-2779205
1500140,-2959205
1530140,-2729205
1540140,-2729205
1510140,-2929205
1390140,-3919205
1520140,-2929205
1540140,-2779205
1550140,-2739205
1550140,-2879205
1560140,-2879205
1460140,-3709205
1580140,-2819205
1590140,-2829205
1470140,-3789205
1610140,-2709205
1540140,-3449205
1630140,-2719205.00000001
1630140,-2809205
1650140,-2749205
1630140,-2859205
1520140,-3739205
1650140,-2819205
1640140,-2859205
1550140,-3609205
1650140,-2849205
1630140,-3029205
1660140,-2849205
1630140,-3049205
1670140,-2879205
1700140,-2819205
1610140,-3479205
1620140,-3479205
1710140,-2849205
1630140,-3469205
1670140,-3139205
1630140,-3449205
1620140,-3519205
1640140,-3449205.00000001
1720140,-2899205
1700140,-3029205
1680140,-3149205
1640140,-3489205
1640140,-3469205
1710140,-2999205
1650140,-3469204.99999999
1740140,-2809205
1650140,-3449205
1660140,-3409205
1710140,-3019205.00000001
1660140,-3429205
1650140,-3489204.99999999
1660140,-3459205
1720140,-2999205
1700140,-3149205
1720140,-3019205
1670140,-3439205
1710140,-3149205
1730140,-3029205
1670140,-3479205
1720140,-3149205.00000001
1680140,-3419205
1690140,-3419205
1730140,-3149205
1690140,-3489205
1780140,-2849205
1770140,-2989205
1790140,-2879205
1780140,-3019205
1780140,-2999205
1800140,-2869205
1800140,-2889205
1810140,-2879205
1810140,-2899205
1790140,-3039205
1790140,-2999205
1820140,-2869205
1800140,-2999205
1790140,-3069205.00000001
1780140,-3149205
1800140,-3019205
1810140,-2989205
1790140,-3109205
1800140,-3089205
1800140,-3069205
1820140,-2989205
1820140,-3009205
1810140,-3089205
1830140,-2999205.00000001
1820140,-3029205
1830140,-2979205
1820140,-3079205
1840140,-2999205
1830140,-3069204.99999999
1830140,-3089205
1800140,-3259205
1850140,-2989205
1860140,-2919205
1840140,-3059205
1840140,-3039205
1810140,-3279205
1840140,-3099205
1850140,-3019205
1850140,-3069205
1860140,-3029205
1880140,-2889205
1850140,-3119204.99999999
1840140,-3199205
1870140,-3019205.00000001
1860140,-3079205
1890140,-2889205
1900140,-2869205
1900140,-2889205
1880140,-3019205
1900140,-2909205
1850140,-3229205
1910140,-2869205
1860140,-3219205.00000001
1910140,-2949205
1900140,-3049205
1890140,-3199204.99999999
1900140,-3209205
1950140,-2879205
1900140,-3259205
1910140,-3219205
1930140,-3119205
1950140,-2969205
1940140,-3109205
1940140,-3139205
1930140,-3219205
2000140,-2879205
2010140,-2889205
2040140,-2899205
2050140,-2939205
