"Longitude","Latitude"
-1629860,-2589205.00000001
-1619860,-2589205
-1579860,-2659205
-1599860,-2499205
-1589860,-2499204.99999999
-1569860,-2529205
-1569860,-2419205
-1569860,-2329205
-1559860,-2329204.99999999
-1519860,-2719205
-1539860,-2409205
-1539860,-2469205
-1529860,-2409205
-1519860,-2329204.99999999
-1479860,-2509205
-1449860,-2589205
-1449860,-2529205
-1439860,-2529205
-1449860,-2499205
-1449860,-2419205
-1429860,-2449205
-1409860,-2509205
-1399860,-2509205
-1399860,-2489205
-1399860,-2469205
-1389860,-2479205
-1379860,-2489205
-1369860,-2499205
-1349860,-2629205
-1359860,-2499205
-1359860,-2449205.00000001
-1369860,-2309205
-1349860,-2479205
-1349860,-2449205
-1349860,-2389205
-1339860,-2369205
-1339860,-2389205
-1339860,-2269205
-1319860,-2389205
-1299860,-2579205
-1299860,-2519205
-1289860,-2559205
-1259860,-2569205
-1249860,-2569205
-1249860,-2549205
-1239860,-2559205.00000001
-1239860,-2579204.99999999
-1229860,-2579205
-1229860,-2499205
-1239860,-2319205
-1189860,-2789205
-1229860,-2329205
-1199860,-2659205.00000001
-1189860,-2679205
-1209860,-2409205
-1219860,-2329204.99999999
-1179860,-2649205
-1189860,-2289205
-1159860,-2579205
-1139860,-2629205
-1129860,-2779205
-1119860,-2769204.99999999
-1109860,-2619205
-1089860,-2779205
-1119860,-2369205
-1079860,-2779205
-1069860,-2869205
-1119860,-2339205
-1049860,-2889205
-1079860,-2459205
-1029860,-2889205
-1029860,-2589205
-1009860,-2789205
-1009860,-2689205
-1019860,-2509205
-989860,-2779205
-1019860,-2369205.00000001
-999859.999999999,-2469205
-989859.999999999,-2459205
-979859.999999999,-2469205
-959859.999999999,-2609205
-939860,-2519204.99999999
-909860.000000001,-2519205
-899859.999999999,-2519205
-889860,-2519204.99999999
-859859.999999999,-2779205
-859860.000000001,-2619205
-829860,-2819205.00000001
-839860,-2469205
-829860.000000001,-2339204.99999999
-819860,-2389205
-769859.999999999,-2449205
-729860,-2429205
-709860.000000001,-2459205
-639859.999999999,-2839205
-639860,-2449205
-609859.999999999,-2819205
-589859.999999999,-2849205
-569860.000000001,-2799205
-579860.000000001,-2479205
-559860,-2989205
-569859.999999999,-2669205.00000001
-549860.000000001,-2889205
-559860,-2789205.00000001
-499860,-2809205.00000001
-439860,-2829205
-439860.000000001,-2689205
-429859.999999999,-2469205
-409860,-2689205
-389860,-2729205
-399859.999999999,-2479205
-399860,-2249205
-389859.999999999,-2699205
-379859.999999998,-2759205
-379859.999999999,-2719205
-369860,-2719205.00000001
-369860,-2699205
-359859.999999997,-2709205
-349860.000000001,-2829205
-339859.999999999,-2739205
-339859.999999999,-2769205
-339860,-2799205
-339860.000000001,-2589205.00000001
-339860,-2609205
-329860,-2669205
-319860.000000001,-2699205
-319859.999999998,-2679205
-309860.000000001,-2679205
-309860,-2719205
-299860,-2839205
-299860,-2709205
-299860,-2669204.99999999
-289859.999999999,-2689205
-289860.000000001,-2499205
-279860,-3139205
-279860,-3099205
-279859.999999999,-2909205
-279859.999999999,-2789205
-269859.999999999,-3099205
-269859.999999998,-3139205
-279860,-2879205
-279860.000000001,-2699205
-269860,-2879205
-269859.999999999,-2839205
-269860,-2669205.00000001
-259860.000000001,-3099205
-269860,-2689205
-269860.000000001,-2709205
-259860.000000001,-2889205
-259859.999999999,-2689205
-259860.000000001,-2599205
-259860,-2819205
-249860.000000001,-2829205
-239860,-2819205
-229859.999999998,-2719205.00000001
-219859.999999999,-2819205.00000001
-219860,-2709205.00000001
-209860.000000001,-3099205
-219859.999999999,-2059205
-199859.999999998,-3099205.00000001
-209860.000000001,-2919205
-199859.999999998,-2699204.99999999
-189860,-2509205.00000001
-199860.000000001,-1949205
-189860,-2859205
-179860,-2969204.99999999
-179860,-2759205
-169860,-2969205
-169860.000000001,-2769205
-169860,-2719204.99999999
-169859.999999999,-2519205
-159859.999999999,-2839205
-159859.999999997,-2729205
-159860.000000001,-2879205
-159859.999999997,-2859205
-159859.999999998,-2579204.99999999
-149860.000000001,-2739205
-149860,-2719205
-139859.999999999,-2979205
-139859.999999997,-2549205
-139860.000000001,-2869205
-129860,-2889205
-129859.999999999,-2559205
-119860.000000001,-2819205
-119859.999999998,-2739205
-119860.000000001,-2609205
-109860.000000001,-2839205
-99860.0000000006,-2739205
-99859.9999999989,-2829205
-89859.9999999988,-2739205
-89859.9999999992,-2439205
-89859.9999999989,-2639205
-79859.999999999,-2939205
-79860.0000000001,-2739204.99999999
-79860.0000000011,-2449205
-69859.9999999986,-2449205
-69860.0000000006,-2929205
-69860.0000000008,-2589205
-69860,-2729205
-59860.0000000009,-2829205
-59859.9999999972,-2739205
-59859.9999999964,-2509205
-59859.9999999988,-2379204.99999999
-59860.0000000012,-2609205
-59860.0000000012,-2579205
-49860.0000000005,-2579205
-49859.9999999975,-2849205
-39859.9999999994,-2619205
-39859.9999999988,-2739205
-29860.000000001,-2949205
-29860,-2529205
-29859.9999999984,-2629205
-29859.9999999988,-2409205
-29859.999999999,-2779205
-19860.0000000009,-2849205
-29860.0000000012,-2739205
-19860.0000000008,-2429205
-19860.0000000005,-2929205
-19859.999999999,-2539205
-9860.0000000006,-2389205
139.999999999574,-2729205
140.00000000007,-2479205
10140.0000000009,-2909205
10140,-2499205
10139.9999999991,-2849205
20140.0000000004,-2439205
30139.9999999991,-2489205
30140.0000000034,-2659205.00000001
30140.0000000012,-2439205
40139.9999999999,-2579205
40139.9999999988,-2509205
40139.9999999988,-2169205.00000001
40140.0000000008,-2529205
50140.0000000004,-2369205
60139.9999999999,-2539205
60139.9999999994,-2559205
60140.0000000039,-2349205
70140.0000000008,-2549205
70139.9999999995,-2659204.99999999
80140.0000000004,-2549205
90140.0000000003,-2439205
90140.0000000018,-2399205
90140.0000000001,-2559205
90140.0000000009,-2639205
90139.9999999997,-2509205
100140.000000001,-2559205
100140.000000003,-2589205
100140.000000004,-2479205
100140,-2419205
110140.000000001,-2569205
110140,-2599205
120140.000000001,-2429205
120140,-2519205
120140.000000002,-2539205
130140.000000001,-2559205
130140,-2539205
140140,-2439205
140139.999999999,-2599205
140140,-2459205
150140.000000003,-2459205
150139.999999999,-2619205.00000001
160139.999999999,-2459205.00000001
160139.999999999,-2619205
170139.999999999,-2649205
180139.999999999,-2329205
180140.000000001,-2689205
190140,-2499205
190140.000000001,-2559205
190140.000000002,-2739205
200140.000000003,-2589205
200140,-2609205
210140.000000002,-2289205
230139.999999999,-2279205
230140.000000001,-2329205.00000001
260140.000000001,-2399205
260139.999999999,-2539205
270140,-2379205
310139.999999999,-2359205
330139.999999999,-2329205
370140,-2349205
370140,-2439205
430140.000000001,-2349205
430140,-2659204.99999999
440139.999999999,-2349204.99999999
