"Longitude","Latitude"
1090140,-4219204.99999999
1420140,-1839205.00000001
1420140,-1919205
1430140,-1899205
1430140,-1889205
1430140,-1939205
1430140,-1929205
1440140,-1919205
1450140,-1909205
1460140,-1889205
1450140,-2099205
1480140,-2129205
1490140,-2119205
1500140,-2109205
1360140,-4109205
1440140,-3689205
1470140,-3799204.99999999
1520140,-3499205
1520140,-3679205
1510140,-3789205
1520140,-3749205
1720140,-2679205
1590140,-3809205
1610140,-3909205
1580140,-4179205
1670140,-3619205
1600140,-4159204.99999999
1600140,-4179205
1650140,-3829205
1690140,-3579205
1640140,-4009205
1640140,-3999205
1640140,-4029205
1640140,-4019205
1670140,-3809205
1660140,-3899205
1680140,-3789205.00000001
1650140,-3999205
1670140,-3879205
1660140,-3979205
1680140,-3819205.00000001
1690140,-3779205
1700140,-3689205
1660140,-3969205
1670140,-3969205
1670140,-3939204.99999999
1680140,-3879204.99999999
1690140,-3829205
1670140,-3979205
1670140,-3949205
1690140,-3859205.00000001
1680140,-3969205
1700140,-3869205
1730140,-3599205
1690140,-3889205
1680140,-3959205
1690140,-3959205.00000001
1690140,-3939205
1690140,-3929205
1710140,-3819205
1690140,-3949205
1710140,-3839205
1720140,-3789205
1730140,-3669205
1690140,-3969205
1710140,-3859205
1890140,-2639205
1700140,-3939205
1700140,-3929205
1700140,-3949205
1710140,-3929205
1710140,-3919205
1710140,-3899205
1870140,-2809205
1910140,-2599205
1910140,-2559205
1720140,-3849205.00000001
1760140,-3619205
1720140,-3869205
1760140,-3659205
1840140,-3079205.00000001
1890140,-2789205
1730140,-3839205
1750140,-3709205
1730140,-3859205
1740140,-3859205
1740140,-3829205
1740140,-3809205
1750140,-3809205
1920140,-2709205.00000001
1750140,-3849205
1760140,-3819205
1790140,-3579205
1780140,-3729205
1770140,-3799205
1770140,-3749205
1760140,-3839205
1790140,-3699205
1930140,-2759205
1780140,-3769205
1790140,-3719205
1790140,-3749205
1940140,-2779205
1810140,-3639204.99999999
1800140,-3719205
1800140,-3679205
1790140,-3779205
1800140,-3749204.99999999
1810140,-3619205
1820140,-3589205
1940140,-2849205
1800140,-3769205
1810140,-3759205
1810140,-3719205
1810140,-3739205
1860140,-3449205
1820140,-3719205
1820140,-3739205
1850140,-3539205
1830140,-3699204.99999999
1830140,-3739205
1840140,-3699205.00000001
1840140,-3669205
1850140,-3649205
1870140,-3549205
1850140,-3699205
1840140,-3719205
1940140,-3149205
1970140,-2989205
1980140,-2929205
1860140,-3679205
1880140,-3559205.00000001
1870140,-3649205.00000001
1990140,-2929205.00000001
1860140,-3719205
1870140,-3679205
1870140,-3719205
1870140,-3699205
1880140,-3679205
1910140,-3479205
1930140,-3369205
1890140,-3669205
1920140,-3469205
1990140,-3009205
1930140,-3459205.00000001
1900140,-3639205
1930140,-3489205
1990140,-3109205
2000140,-3029205
1910140,-3619204.99999999
1900140,-3669205
1900140,-3689205
1980140,-3219204.99999999
1950140,-3459205
1990140,-3219205
2010140,-3069205
2020140,-3029205
2030140,-2959205
1930140,-3609205
2000140,-3239205
2000140,-3209205
2010140,-3139205
2020140,-3119205
2020140,-3099205
2020140,-3069205
2030140,-3039205
2030140,-3009205.00000001
1940140,-3589205
2020140,-3139205
2030140,-3099205
2030140,-3079205
2040140,-3049205
2040140,-3019205
1960140,-3549205
1950140,-3589205
2030140,-3169205
2030140,-3149205
2030140,-3129205
2040140,-3109205
2040140,-3089205
2050140,-3049205
2060140,-2969205
2070140,-2939205
1960140,-3579205
1970140,-3569205
1980140,-3479205
2050140,-3069205
2060140,-3009205
2070140,-2959205
1990140,-3439205
1980140,-3549205
2020140,-3299205
1990140,-3479204.99999999
2000140,-3469205
2040140,-3189204.99999999
2050140,-3159204.99999999
2060140,-3079205
2070140,-3049205
2070140,-3019205
2080140,-2979205
2080140,-2939205
2090140,-2929205
2090140,-2909205.00000001
2090140,-2889205
2010140,-3399205
2010140,-3439205
2050140,-3209205
2050140,-3189205
2060140,-3169205
2100140,-2899205
2050140,-3269205
2060140,-3229205
2060140,-3209205
2060140,-3189205
2040140,-3369205
2060140,-3249205.00000001
2060140,-3279205
2070140,-3209205
2070140,-3189204.99999999
2080140,-3149205
2080140,-3129205
2090140,-3109205
2060140,-3319205
2080140,-3229205
2090140,-3169205
2090140,-3149205
2080140,-3289205.00000001
