"Longitude","Latitude"
820140,-4149205
860139.999999999,-4159205
930140.000000003,-4129205
930139.999999999,-4079205
940140,-4109205
940140.000000002,-4119204.99999999
1080140,-4129205
1130140,-4529205
1240140,-4139205
1250140,-4149205
1200140,-4609205
1200140,-4639205
1200140,-4669205
1220140,-4609205
1220140,-4659205
1220140,-4679205
1220140,-4669205
1240140,-4619205
1240140,-4649205
1240140,-4629204.99999999
1240140,-4719205
1250140,-4659205
1250140,-4669205
1250140,-4709205
1260140,-4639205.00000001
1250140,-4749205
1250140,-4739205
1280140,-4679205
1290140,-4739205
1290140,-4759205
1290140,-4749205
1380140,-4079205
1310140,-4679205
1310140,-4689205
1310140,-4729205
1310140,-4669204.99999999
1320140,-4659205
1320140,-4769205
1490140,-3989205
1480140,-4119205
1490140,-4079205
1500140,-3989205
1500140,-4009205
1510140,-3999204.99999999
1510140,-3989205
1500140,-4029205
1520140,-3989205
1520140,-4019205
1510140,-4099205
1530140,-4009205
1530140,-3979205
1540140,-4059205
1540140,-4039205
1550140,-3999204.99999999
1540140,-4029205
1550140,-4009204.99999999
1550140,-4079204.99999999
1550140,-4089205
1570140,-3989205
1600140,-3979204.99999999
1630140,-3949205
