"Longitude","Latitude"
2020140,-3099205
2030140,-2999205
1940140,-3609205
1990140,-3339205
2050140,-2979205
1950140,-3609205
2060140,-2959205
2050140,-3019205
2050140,-3049205
2050140,-3079205
2070140,-2969204.99999999
1990140,-3429205
1980140,-3549205
2060140,-3069205
1980140,-3529205
2070140,-2989205
2070140,-3019205
2060140,-3049205
2080140,-2939205
2090140,-2929205
2080140,-2989205
2100140,-2899205
2110140,-2899205
2020140,-3409205
2080140,-3119205
2070140,-3199205
2070140,-3179205
2080140,-3189205
2080140,-3169205
2090140,-3109205
2080140,-3149205
2090140,-3149205
2080140,-3289205.00000001
