"Longitude","Latitude"
-1879860,-2859205
-1849860,-2749205
-1829860,-2689205
-1789860,-2929205
-1809860,-2719205
-1829860,-2469205
-1799860,-2549204.99999999
-1729860,-2469205
-1699860,-2329205
-1579860,-3089205
-1569860,-3109205
-1659860,-2359205
-1619860,-2359205
-1619860,-2339205
-1569860,-2329205
-1569860,-2309205.00000001
-1439860,-2939205
-1429860,-2949205.00000001
-1439860,-2429205
-1439860,-2279205
-1399860,-2509205
-1329860,-2949204.99999999
-1339860,-2499205
-1329860,-2579205
-1299860,-2579205
-1289860,-2569205
-1279860,-2479205
-1209860,-2439205.00000001
-1179860,-2659205.00000001
-1169860,-2649205
-1139860,-2969205
-1179860,-2169205
-1029860,-3199205
-1039860,-2889205
-1079860,-2019205
-1069860,-2019205
-1049860,-1919205
-1049860,-1909205
-1029860,-1959205
-1019860,-1979205
-939859.999999999,-2549205
-929860,-2619205
-979859.999999999,-1789205
-959860,-1789205
-899860.000000002,-2139205
-879859.999999999,-2519205
-889860,-1879205
-879859.999999998,-1869205
-879859.999999999,-1749205
-689860.000000001,-2839205
-709860,-2139205
-699860,-2149205
-559860,-1789205
-469860.000000001,-2179205
-399860.000000001,-2819205
-339860.000000001,-2629205.00000001
-359860.000000001,-1579205
-309860,-2199205
-299860.000000001,-2409205
-289860.000000001,-2209205
-279860,-2379204.99999999
-259859.999999999,-2619205
-249860.000000001,-2459205
-229860,-2199205
-219859.999999999,-2099204.99999999
-199860,-2179205
-189860,-2189205
-179860.000000001,-2639205.00000001
-169859.999999999,-2519205
-169860.000000001,-2129205
-159860,-2239205
-139860,-2239205
-139860,-1319205
-99859.9999999989,-2709205
-99859.9999999994,-2309205
-99859.9999999994,-2449205.00000001
-79859.9999999965,-2819205
-79859.9999999993,-2119205
-69860.0000000004,-2639205
-59860.0000000004,-1629205
-39859.9999999994,-2809205
-39860.0000000011,-2369205
-29859.9999999988,-2409205
-29860.0000000012,-2739205
-19859.9999999996,-2169205
-19859.9999999988,-2629205
-19859.9999999982,-2459205.00000001
-9859.99999999803,-2639205
-9860.0000000006,-2499205
139.999999999574,-2729205
10140.0000000029,-2729205
20140.0000000006,-1169205
20140.0000000003,-2159205
20140.0000000037,-2049205
40139.9999999993,-1179205
50140.000000001,-2169204.99999999
50139.9999999989,-2929205
60139.9999999998,-2369205.00000001
70139.9999999991,-2269205
60140.0000000036,-2749205
70140.0000000008,-2549205
70140.0000000006,-2599205.00000001
80139.9999999988,-2599205
80139.9999999995,-2429204.99999999
80140.0000000004,-2549205
100140.000000001,-2559205
110140,-2659205
120139.999999999,-2699205
120139.999999999,-2759205
130139.999999999,-2609205
140140,-2569205
160140.000000001,-2249205
160140.000000001,-1869205
160140.000000001,-2539205
170140,-1909205
170140,-2339205
180140,-2569205
190140.000000001,-2559205
200140.000000001,-2569205.00000001
200140.000000002,-2599204.99999999
210139.999999999,-2809205
220139.999999999,-2839205
230140,-2489205
230140.000000003,-3039204.99999999
240140.000000001,-2579205.00000001
250140.000000004,-2199205
240140.000000003,-3349204.99999999
260140.000000001,-2399205
270139.999999999,-2489205
270140,-2389205
260140.000000004,-2769205
270139.999999999,-2629205
260140,-3069205
270139.999999999,-3059205
280140.000000001,-2829205
300140.000000001,-2479205
290140.000000001,-3139204.99999999
290140.000000001,-3109205
300139.999999999,-2849205
300140.000000001,-3029205
300140,-3129205
320140.000000001,-2889205
320140,-2949205
330140,-2819205
330140,-2889205
340140,-2729205
