"Longitude","Latitude"
200139.999999999,-2559205
570140.000000001,-3889205
590139.999999999,-3889205
590140.000000001,-3879205
600140,-3669205
610139.999999999,-3829205
610140,-3819205
600140,-3879205
610140,-3849205
610139.999999999,-3879205
610139.999999999,-3839205.00000001
620140,-3819205
610140.000000001,-3859204.99999999
620140,-3879205
620140,-3889205.00000001
620139.999999999,-3799205
630140,-3819205
630140.000000002,-3799205
630140,-3829205
630140,-3749205
640140.000000003,-3789205
650140.000000001,-3799205
660140.000000002,-3669205
680140.000000002,-3339205
760140,-4139205
760140,-4149205
790140.000000002,-4059205.00000001
800140.000000001,-4099205
810139.999999999,-4069205
840140.000000001,-4219205
860140,-4199205
860140.000000002,-4219205
880140.000000001,-4109205
870139.999999999,-4159205
880140,-4099205
890140.000000001,-4029205
880140.000000002,-4149204.99999999
900140.000000002,-4009205
940140.000000001,-3779205
910140,-4149205
920140,-4049205
920140.000000001,-4109204.99999999
930140,-3999205
930140.000000003,-4129205
940140.000000001,-4059204.99999999
930140,-4099204.99999999
940139.999999998,-4079205.00000001
950139.999999999,-4099205
950140,-4089205.00000001
950140,-4109205
950140,-4119205.00000001
940140,-4229205
1010140,-4069204.99999999
1010140,-4079205
1000140,-4239205
1020140,-4119205
1030140,-4259205
1050140,-4079205
1060140,-4139205
1060140,-4169204.99999999
1080140,-4099205
1160140,-3289205
1080140,-4179204.99999999
1070140,-4239205
1080140,-4249205
1160140,-3999205
1150140,-4099205
1170140,-3959205
1160140,-4079205.00000001
1150140,-4159205
1180140,-3979205
1170140,-4089205
1200140,-3979204.99999999
1180140,-4189205
1200140,-4039205
1180140,-4179205
1200140,-4099205
1190140,-4219205
1220140,-4099205
1250140,-4069204.99999999
1260140,-3999205
1230140,-4279205
1250140,-4059204.99999999
1270140,-4009205.00000001
1270140,-4039205
1300140,-3799205.00000001
1270140,-4069205
1250140,-4269205
1290140,-4099205.00000001
1310140,-4019205
1300140,-4219205
1360140,-3749205
1330140,-4089205
1400140,-3689205
1420140,-3519205
1370140,-3999205
1410140,-3769205
1420140,-3759205
1440140,-3649205
1390140,-4049205
1510140,-3099205
1390140,-4199204.99999999
1420140,-3949204.99999999
1450140,-3699205
1420140,-4019205.00000001
1410140,-4119205.00000001
1420140,-4059205
1590140,-2829205
1440140,-4039205
1480140,-3789205
1450140,-4129205
1530140,-3519205
1520140,-3689205
1520140,-3829205
1580140,-3449205
1500140,-4089205
1600140,-3419205.00000001
1610140,-3429205
1610140,-3409205
1540140,-3939205
1620140,-3409205
1540140,-3999205.00000001
1550140,-3959205
1540140,-4029205
1690140,-2999205.00000001
1630140,-3409205
1560140,-3969205
1580140,-3919205.00000001
1600140,-3869205
1560140,-4209205
1610140,-3889204.99999999
1680140,-3419205
1580140,-4179205
1590140,-4169205.00000001
1620140,-4089205.00000001
1620140,-4059205
1680140,-3799205
1820140,-2999205
1820140,-3029205
1720140,-3849205.00000001
1730140,-3839205
1730140,-3809205
1790140,-3459205
1860140,-2959205.00000001
1850140,-3019205
1820140,-3269205
1870140,-2959205
1860140,-3129205
1820140,-3439205
1860140,-3259205
1790140,-3699205
1850140,-3449205
1850140,-3479205
1860140,-3469205
1860140,-3489205
1900140,-3239205
1910140,-3299205
1890140,-3449205.00000001
1960140,-3019205
1970140,-3469205
