"Longitude","Latitude"
820140,-4189205
830139.999999999,-4179205
880140,-4199204.99999999
940140.000000003,-4099205
1050140,-4259205
1060140,-4249205.00000001
1260140,-2159205
1150140,-4249205
1400140,-1789205
1410140,-1819205
1170140,-4189204.99999999
1170140,-4209205
1430140,-1919205
1200140,-4179205
1240140,-4139205
1220140,-4609205
1280140,-4109205
1270140,-4229205
1290140,-4099205.00000001
1270140,-4309204.99999999
1250140,-4579205
1530140,-2169205
1300140,-4569205
1390140,-4239205
1350140,-4719205
1420140,-4169205
1620140,-2639205
1440140,-4179205
1380140,-4629205
1380140,-4639205
1440140,-4189205
1380140,-4669205
1380140,-4679204.99999999
1380140,-4689205
1390140,-4609205
1390140,-4589205
1390140,-4599205
1700140,-2409205
1510140,-3929205
1520140,-3959205
1670140,-2879205
1500140,-4209205
1750140,-2379205.00000001
1600140,-3509205
1550140,-3929204.99999999
1720140,-2699205
1550140,-3949205
1550140,-4119205
1560140,-4129205
1610140,-3789205
1590140,-4009205
1570140,-4219205
1590140,-4059205
1570140,-4209205
1600140,-3999205
1590140,-4109205
1610140,-3999205
1600140,-4129205
1620140,-4089205.00000001
1720140,-3419204.99999999
1660140,-3839205
1670140,-3819205
1650140,-3919204.99999999
1650140,-3959205
1680140,-3729205
1660140,-3889205
1690140,-3729205
1860140,-2579205
1660140,-3999205
1680140,-3919204.99999999
1700140,-3809205
1690140,-3939205
1690140,-3959205.00000001
1720140,-3819205
1760140,-3609205
1890140,-2779205
1920140,-2719204.99999999
1860140,-3169205
1930140,-2759205
1920140,-2839205
1860140,-3259205
1940140,-2779205
1940140,-2849205
1900140,-3189205
1920140,-3059205
1910140,-3279205
1940140,-3129205
1900140,-3399205
1970140,-2989205
1900140,-3469205
1960140,-3139204.99999999
1940140,-3279205
1970140,-3189205
2000140,-2959205
1980140,-3149205
1970140,-3209205
2000140,-2999205
1910140,-3609205
1930140,-3569205
2020140,-3049205
2030140,-2979205
1970140,-3379205
2000140,-3239205
2000140,-3209205
1960140,-3469204.99999999
2020140,-3129205
1970140,-3469205
2050140,-3039205.00000001
2030140,-3169205
2040140,-3189204.99999999
2050140,-3179205
2050140,-3199205
2090140,-3149205
