"Longitude","Latitude"
1180140,-4219205.00000001
1200140,-4099205
1210140,-4229205
1450140,-1989205
1210140,-4219205
1480140,-1999205
1500140,-1999205
1290140,-4219205
1300140,-4289205
1310140,-4219205
1320140,-4209205.00000001
1330140,-4189205
1320140,-4269205
1320140,-4259205
1330140,-4199205
1480140,-3139205
1350140,-4209205
1360140,-4199205
1400140,-4089205
1390140,-4209205
1410140,-4049205
1390140,-4239205
1410140,-4229205
1410140,-4199205
1430140,-4199205.00000001
1430140,-4219205
1440140,-4189205
1630140,-2829205
1450140,-4229205
1460140,-4179205
1450140,-4219205
1700140,-2379205
1470140,-4199205
1710140,-2369205
1480140,-4179205
1480140,-4219205
1500140,-4199205
1500140,-4209205
1720140,-2679205
1720140,-2699205
1520140,-4199205
1530140,-4229205
1740140,-2809205
1550140,-4209205
1550140,-4229205
1560140,-4199205
1580140,-4089205
1580140,-4079205
1570140,-4209205
1570140,-4219205
1580140,-4149205
1580140,-4189205
1590140,-4169205.00000001
1590140,-4199205
1610140,-4019205
1600140,-4129205
1630140,-3989205
1590140,-4209205
1610140,-4079205
1620140,-4029205
1630140,-4009205
1660140,-3799205
1650140,-3919204.99999999
1630140,-4079205
1660140,-3909205
1640140,-4029205
1650140,-4019205.00000001
1650140,-4009205
1660140,-3959205
1660140,-3969205
1660140,-3989205
1660140,-3999205
1690140,-3799205
1680140,-3939205
1690140,-3839205
1700140,-3839205
1890140,-2589205.00000001
1690140,-3899205
1690140,-3919205
1710140,-3809205
1700140,-3919205
1900140,-2599205.00000001
1700140,-3909205
1720140,-3799204.99999999
1720140,-3819205
1860140,-2869205
1700140,-3929205
1830140,-3069204.99999999
1710140,-3899205
1710140,-3879205
1700140,-3959205.00000001
1720140,-3849205.00000001
1760140,-3609205
1890140,-2689205
1730140,-3809205
1730140,-3839205
1900140,-2699205
1740140,-3839205
1730140,-3859205
1750140,-3779205.00000001
1900140,-2769205
1740140,-3859205
1750140,-3819205
1920140,-2709205.00000001
1760140,-3809205
1830140,-3349205
1760140,-3849205
1760140,-3829205
1790140,-3689205
1770140,-3809205
1920140,-2909205
1860140,-3349205
1940140,-2789205
1800140,-3759205
1910140,-3019205
1810140,-3719205
1880140,-3289205
1820140,-3649205
1860140,-3459205
1940140,-2989205.00000001
1830140,-3719205
1940140,-3029205
1950140,-3069205
1910140,-3279205
1920140,-3259205
1880140,-3559205.00000001
1850140,-3709205
1960140,-3109205.00000001
1930140,-3289205
1910140,-3479205
1960140,-3129205.00000001
1900140,-3539205
1870140,-3709205
1920140,-3479205
1950140,-3299205
1970140,-3239205
1900140,-3679205
1910140,-3579205
1930140,-3459205.00000001
1950140,-3369205
1930140,-3489205
1920140,-3599205
1910140,-3629205
1980140,-3259205
1910140,-3679205
1980140,-3239205
1990140,-3199205.00000001
1990140,-3229205
2000140,-3229205
1940140,-3609205
2020140,-3119205
1960140,-3459205
2020140,-3139205
1950140,-3579205
1990140,-3369205
2040140,-3069205
1960140,-3589205
2050140,-3079205
2010140,-3309205
2040140,-3149205
2080140,-2919205
2070140,-3049205
2060140,-3089205
2050140,-3149205
2090140,-2929205
2060140,-3159205
2050140,-3169205
2010140,-3439205
2060140,-3179205
2050140,-3219205
2040140,-3289205
2050140,-3239205
2050140,-3279205
2050140,-3259205
2060140,-3229205
2070140,-3189204.99999999
2060140,-3279205
2080140,-3149205
2070140,-3229205
2090140,-3159205
2070140,-3259205
2080140,-3239205
