"Longitude","Latitude"
1680140,-3839205
1690140,-3809205
1690140,-3829205
1700140,-3819205
1700140,-3779205
1690140,-3859205.00000001
1710140,-3779205.00000001
1710140,-3799205
1700140,-3839205
1720140,-3709205
1730140,-3719205
1740140,-3709205
1750140,-3709205
1750140,-3769205
1750140,-3749205
1760140,-3709205
1770140,-3709205
1770140,-3689205
1760140,-3779205
1770140,-3749205
1770140,-3789205
1770140,-3769205
1780140,-3749205
1790140,-3669205
1790140,-3749205
1790140,-3769205
1880140,-3309205
1880140,-3339205
1890140,-3319205
1900140,-3289205
1910140,-3249205
1900140,-3339205
1910140,-3279205
1920140,-3249204.99999999
1920140,-3269205
1920140,-3289205.00000001
1910140,-3359205
1930140,-3239205
1910140,-3379205
1930140,-3259205
1930140,-3299205
1920140,-3339205
1880140,-3589204.99999999
1920140,-3369205
1940140,-3289205
1950140,-3209205
1890140,-3589205
1940140,-3309205
1930140,-3369205
1950140,-3229205
1960140,-3229205
1970140,-3219205
1930140,-3459205.00000001
1950140,-3369205
1950140,-3449205
2020140,-3129205
2010140,-3439205
2060140,-3289205
