"Longitude","Latitude"
-369859.999999999,-1589205
-349860.000000001,-1669205
-219860.000000001,-1429205
-209860,-1399205
-209860.000000001,-1379205.00000001
-179859.999999999,-1349205
-169860.000000001,-1429205
-159860.000000001,-1319205
-159860,-1199204.99999999
-149860.000000001,-1239205
-149860,-1189205
-139859.999999998,-1459205
-139860,-1319205
-129860.000000001,-1309205
-119859.999999999,-1299205
-119859.999999999,-1319205
-109860.000000001,-1339205
-69859.999999996,-1339205
-69859.999999999,-1359205
-69860.000000001,-1349205
-59859.9999999998,-1299205
10139.9999999987,-1189205
20139.9999999998,-1289204.99999999
30139.9999999998,-1529205
50139.9999999998,-1279205
60139.9999999993,-1169205
70139.999999999,-1209204.99999999
110140.000000001,-1309205
110140.000000001,-1299205
110140,-1199205
110140.000000004,-1369205
110140.000000001,-1319204.99999999
120140,-1209205
340140,-1299205
390140.000000001,-1509205
390140.000000001,-1279205
400139.999999999,-1269205
410140,-1589205
410140,-1329204.99999999
430140.000000001,-1249205
430140,-1489205
430139.999999999,-1399205.00000001
450139.999999999,-1459205
470140,-1289205
480140.000000001,-1499205
490139.999999999,-1479205
500140.000000001,-1209205
500140,-1679205
530140,-1189205
540140.000000001,-1319205
540140,-1299205
550139.999999999,-1679205
620139.999999999,-1749205
630140.000000003,-1759205
660139.999999999,-1789205
760140.000000001,-1839205
810140.000000003,-1779205
810140,-1849205
1020140,-1679205
1040140,-1579205
1040140,-1619204.99999999
1060140,-1419205
1070140,-1459205
1090140,-1379205
1140140,-1109205
1140140,-1159205
1140140,-1149204.99999999
1180140,-1169205
1190140,-1179205
1230140,-1339205.00000001
1240140,-1379205
1240140,-1399205.00000001
1250140,-1409205
1430140,-1719205
1430140,-1799205
1440140,-1669205
1430140,-1829205
1430140,-1819205
1440140,-1809205
1440140,-1789205
1450140,-1779205
1450140,-1839205.00000001
1460140,-1859205
1470140,-1879205
1480140,-1919205
1480140,-2009205
1490140,-1949205
1490140,-1929205
1480140,-2029205
1490140,-1989205
1490140,-1999205.00000001
1490140,-1979205
1500140,-2059205
1550140,-2139205
1730140,-2309204.99999999
1740140,-2289205
1770140,-2379205
1770140,-2429205
1870140,-2679205
1900140,-2559205
1900140,-2629205
1900140,-2659205
1910140,-2639205
1940140,-2699205
1980140,-2759205
1990140,-2769204.99999999
2000140,-2779205
2020140,-2829204.99999999
1990140,-3109205
2010140,-3159205
2060140,-2899205
2050140,-2959205
1960140,-3589205
2070140,-2919205
2050140,-3079205
2070140,-2959205
1980140,-3489204.99999999
1990140,-3489205.00000001
2040140,-3149205
2050140,-3129205
2070140,-3029205
2050140,-3109205
2060140,-3119205
2070140,-3059205
2090140,-2929205
2010140,-3439205
2020140,-3419205.00000001
2060140,-3179205
2040140,-3349205
2040140,-3369205
2070140,-3169205
2080140,-3119205
2080140,-3159205
2070140,-3219205
2090140,-3109205
2070140,-3199205
2050140,-3329205
2070140,-3239205
2080140,-3239205
2070140,-3269205
2090140,-3149205
2070140,-3299205
