"Longitude","Latitude"
1350140,-4229205
1350140,-4219205
1550140,-4079204.99999999
1550140,-4159205
1570140,-4089204.99999999
1570140,-4079205
1580140,-4069205
1590140,-3969205
1590140,-4029205.00000001
1590140,-4009205
1600140,-3919205
1590140,-3989205
1610140,-3989205
1620140,-3949205
1590140,-4199205
1590140,-4209205
1590140,-4179205
1620140,-3979205
1620140,-3989205
1630140,-3989205
1630140,-3969205
1630140,-3939205
1630140,-3979205
1600140,-4189205
1640140,-3959205
1640140,-3909205
1650140,-3899205
1670140,-3759204.99999999
1660140,-3899205
1680140,-3769205
1650140,-3979205
1680140,-3749205
1680140,-3899205
1710140,-3809205
