"Longitude","Latitude"
1280140,-4059205
1300140,-4139205
1360140,-4129205
1360140,-4139204.99999999
1370140,-4119205
1440140,-4119205
1460140,-3989205
1460140,-4039205
1460140,-3999205
1460140,-4049205
1470140,-4019204.99999999
1480140,-4029205
1470140,-4079205
1470140,-4069204.99999999
1490140,-3999205
1500140,-3949205
1500140,-3979205
1500140,-3989205
1510140,-3979205.00000001
1490140,-4159205
1520140,-3979204.99999999
1510140,-3989205
1520140,-3969205
1490140,-4149205
1520140,-3999205
1500140,-4169205
1530140,-3989205
1530140,-3979205
1500140,-4209205
1550140,-4109205
