"Longitude","Latitude"
1790140,-3429205
1810140,-3389205
1820140,-3379205
1810140,-3489205
1840140,-3339204.99999999
1820140,-3469205
1850140,-3339205
1850140,-3359205
1840140,-3419205
1860140,-3349205
1850140,-3409205
1880140,-3279205
1880140,-3319205
1870140,-3349205
1890140,-3269205
1890140,-3289205
1890140,-3319205
1900140,-3249205
1910140,-3249205
1880140,-3399205
1900140,-3269205
1890140,-3429205
1900140,-3339205
1890140,-3409205
1900140,-3369205
1920140,-3249204.99999999
1910140,-3289205
1920140,-3289205.00000001
1910140,-3319205
1910140,-3359205
1890140,-3509204.99999999
1920140,-3329205
1920140,-3389204.99999999
1930140,-3299205
1890140,-3599205
1920140,-3369205
1910140,-3459205
1930140,-3369205
1920140,-3469205
1940140,-3359205
1930140,-3429205.00000001
1910140,-3539205
1930140,-3459205.00000001
1930140,-3479205
1940140,-3439205
1950140,-3369205
1940140,-3459204.99999999
1920140,-3589205
1950140,-3459205
1980140,-3339205
1970140,-3459204.99999999
1980140,-3459205
2050140,-3279205
