"Longitude","Latitude"
1530140,-3939205
1570140,-4149205
1580140,-4119204.99999999
1590140,-4049205
1580140,-4069205
1580140,-4109205
1580140,-4099205
1620140,-3809205
1580140,-4139205
1590140,-4149205
1600140,-4109205
1590140,-4199205
1590140,-4159205
1610140,-4039205
1600140,-4119205
1590140,-4209205
1590140,-4189205
1620140,-4009205
1620140,-3999205
1620140,-4059205
1640140,-3939205
1630140,-4019205.00000001
1660140,-3869205.00000001
1640140,-4009205
1660140,-3809205
1640140,-3999205
1640140,-4029205
1680140,-3729205
1650140,-3989205
1660140,-3979205
1670140,-3929205
1700140,-3709205
1680140,-3879204.99999999
1690140,-3799205
1690140,-3879205
1680140,-3929205
1700140,-3859205
1690140,-3929205
1710140,-3799205
1700140,-3829205
1710140,-3819205
1730140,-3769205
1730140,-3789205
1720140,-3839205
1720140,-3879205
1730140,-3849205
1740140,-3839205
1750140,-3839205
1760140,-3749205
1770140,-3739205
1760140,-3799205
1770140,-3809205
1770140,-3759205
1800140,-3769205
1820140,-3699205
1860140,-3639205
1870140,-3689205
1880140,-3679205
