"Longitude","Latitude"
-369859.999999996,-2799205
-339860,-2799205
-89860.0000000008,-2829205
-19860.0000000009,-2849205
-9859.99999999962,-2849205
60139.9999999998,-2369205.00000001
70139.9999999997,-2369205
80140.0000000005,-2509205
130140.000000001,-2559205
190140.000000001,-2559205
240140.000000001,-2539204.99999999
250140.000000001,-2549205
260140.000000001,-2599205
290140,-2489205
300140,-2489205
300140.000000003,-2529205
340139.999999999,-2489205
470139.999999999,-2629205
630140,-3439205
660139.999999999,-3329205
670140.000000002,-3349205
680140.000000003,-3349205
700139.999999999,-3329205
700140.000000001,-3349205
1100140,-2729205
1020140,-3939205
1060140,-3939204.99999999
1270140,-2149205
1320140,-1989205
1470140,-2139205
1540140,-2199205
1530140,-2809205
1570140,-2769205
1590140,-2769205
1590140,-2799205
1630140,-2619205
1620140,-2819205
1690140,-2389205
1700140,-2409205
1610140,-3319205
1640140,-3289205
1880140,-3099205
1890140,-3099205
1950140,-2939205
1930140,-3139205
