"Longitude","Latitude"
1450140,-1969205
1710140,-2669205
1720140,-2699205
1720140,-2679205
1580140,-3939205
1580140,-4009205
1600140,-3949205
1610140,-4039205
1630140,-3979205
1630140,-3969205
1640140,-3949205
1630140,-3989205
1640140,-3969205
1660140,-3859205
1640140,-3979205
1640140,-3939205
1660140,-3829205
1650140,-3949205
1640140,-3959205
1650140,-3939205
1650140,-3899205
1640140,-3999205
1650140,-3959205
1650140,-3969205
1650140,-3979205
1660140,-3899205
1680140,-3779205
1660140,-3949205
1670140,-3899205
1660140,-3959205
1690140,-3789205
1680140,-3799205
1680140,-3849204.99999999
1660140,-3939205
1690140,-3809205
1670140,-3979205
1670140,-3949205
1680140,-3939205
1670140,-3959205.00000001
1680140,-3949205
1680140,-3909205
1700140,-3799205.00000001
1700140,-3779205
1690140,-3899205
1700140,-3819205
1700140,-3859205
1680140,-3969205
1690140,-3929205
1710140,-3819205
1690140,-3939205
1690140,-3959205.00000001
1710140,-3799205
1890140,-2599205
1720140,-3789205
1700140,-3909205
1700140,-3959205.00000001
1900140,-2559205
1890140,-2619205
1710140,-3879205
1900140,-2579205
1900140,-2599205.00000001
1730140,-3789205
1910140,-2589205
1870140,-2879205
1720140,-3859205
1730140,-3849205
1750140,-3769205
1880140,-2889205
1740140,-3839205
1900140,-2779205
1750140,-3799205
1740140,-3859205
1760140,-3749205
1890140,-2849205
1750140,-3839205
1750140,-3859205
1900140,-2869205
1750140,-3819205
1760140,-3809205
1770140,-3739205
1770140,-3759205
1760140,-3789205
1770140,-3779205
1770140,-3799205
1770140,-3819205
1760140,-3839205
1780140,-3759205.00000001
1780140,-3789205
1920140,-2889205
1930140,-2889205.00000001
1810140,-3759205
1940140,-3039205
1840140,-3709205
2000140,-2799205
1950140,-3099205
1850140,-3709205
1920140,-3289205.00000001
2000140,-2819205
1930140,-3289205
1930140,-3269205
1860140,-3699205.00000001
1930140,-3309205
1870140,-3709205
1880140,-3679205
2010140,-2849205
1940140,-3309205
1930140,-3369205
2020140,-2839205
1940140,-3369205
1890140,-3689205
1900140,-3669205
2030140,-2859205
1950140,-3369205
2040140,-2879205
1910140,-3649205
1910140,-3669205
2040140,-2909205
2020140,-3099205
2050140,-2899205
1940140,-3629205
1940140,-3609205
1960140,-3549205
2060140,-2909205
1950140,-3599205
2060140,-2939205
2050140,-2979205
2060140,-2979205
2030140,-3159205
1960140,-3589205
2050140,-3089205
1970140,-3569205
1990140,-3419205
2070140,-2929204.99999999
2040140,-3159205
1980140,-3549205
2050140,-3139205
2070140,-3009205
2000140,-3419205
2080140,-2939205
2050140,-3159204.99999999
1980140,-3529205
1990140,-3529205
2070140,-2989205
2000140,-3439205
2080140,-2979205
2060140,-3069205
2060140,-3109205
2070140,-3049205
2070140,-3029205
2080140,-2999205
2000140,-3459205
2070140,-3069204.99999999
2060140,-3159205
2020140,-3409205
2070140,-3109205
2010140,-3419205
2010140,-3439205
2110140,-2879205
2120140,-2869205
2060140,-3179205
2030140,-3409204.99999999
2070140,-3179205
2040140,-3359205
2080140,-3119205
2050140,-3339205
2090140,-3109205
2080140,-3149205
2080140,-3169205
2060140,-3319205
2080140,-3259205
2070140,-3299205
