"Longitude","Latitude"
320140,-3769205
340140,-3769205
350140,-3789205.00000001
360140,-3759205
370140,-3749205
450140,-3859205
540140,-3769205
560140,-3589204.99999999
570139.999999999,-3589205
560140,-3709205
570139.999999999,-3699205
580139.999999999,-3619205
590140.000000003,-3659205
580140,-3899205
600140.000000001,-3839205
610140.000000001,-3649205
590140,-3899205
600140.000000001,-3709205
600140.000000002,-3849205
620140.000000003,-3459205
610140,-3719205
600139.999999999,-3859204.99999999
610139.999999999,-3839205.00000001
600140.000000001,-3889205.00000001
610139.999999999,-3829205
610140,-3869204.99999999
610140.000000001,-3859204.99999999
610140,-3849205
620139.999999999,-3709205.00000001
610139.999999999,-3879205
610140,-3819205
620140,-3779204.99999999
620140,-3849205
620139.999999999,-3829205
620140,-3739205
620140.000000002,-3859205
620140,-3819205
620139.999999999,-3799205
620140,-3839205
630140,-3709205
630140.000000003,-3759205
630140.000000001,-3739204.99999999
630139.999999999,-3809205
630139.999999999,-3789205
630140,-3829205
640140.000000001,-3689205
640139.999999999,-3729204.99999999
640139.999999999,-3809205
640140.000000003,-3789205
640140.000000001,-3839205
640140,-3829204.99999999
650140,-3759205.00000001
650139.999999999,-3789205
750140.000000001,-2819205
700140.000000001,-3929204.99999999
700139.999999999,-3939205
730140.000000002,-3569205.00000001
730140,-4009205
740140.000000001,-4059205
750140.000000001,-3959205
750140.000000002,-4129205
750140,-4139205
760140.000000001,-4009205
760139.999999999,-4089205.00000001
870140.000000001,-2549205
770140.000000002,-4069205
780140.000000001,-4079205
780140,-4089205
780140,-4119205
780140.000000001,-4129205
790139.999999999,-4109205
790140,-4009205
790140,-4099205
800140.000000004,-3989204.99999999
790140,-4029205
800140.000000001,-3999204.99999999
800140,-4039205.00000001
790140,-4179205
810139.999999999,-4009205
830139.999999999,-4179205
840140.000000003,-4009205
870139.999999999,-3769205
850140.000000001,-4059205
850140.000000002,-3999205
860139.999999999,-4139205
880140.000000001,-4019205
880140.000000001,-4009205
880140,-3999205
880139.999999999,-4129205
890139.999999999,-4109205
900140.000000002,-4009205
900140,-4019205
900140,-4049205
930140,-4049205
930140,-4089205
940139.999999999,-4039205
950140.000000001,-4079205
950139.999999999,-4159205
950140.000000001,-4149205
960140,-4089205
960139.999999999,-4139205
980140,-4009205
970140,-4119205
1000140,-4009205
1010140,-4049204.99999999
1000140,-4209205
1010140,-4179205
1030140,-4099205
1040140,-3959205
1030140,-4209205
1050140,-4019205
1050140,-4049205
1050140,-4149205
1050140,-4189205
1060140,-4169204.99999999
1100140,-4019205
1100140,-4029205
1100140,-4009205
1100140,-4049205
1100140,-4179205
1110140,-4169205
1130140,-4149205
1120140,-4189205
1130140,-4179205
1170140,-3939205
1150140,-4179205
1150140,-4149205
1160140,-4129205
1160140,-4189205
1170140,-4159205
1170140,-4199205
1180140,-4239205
1200140,-4069205
1210140,-3979205
1210140,-4009205
1220140,-4129205
1240140,-3929205
1230140,-4059204.99999999
1250140,-4069204.99999999
1250140,-4109205
1290140,-4249205
1300140,-4279205
1300140,-4219205
1300140,-4229205
1320140,-4219205
1310140,-4289205
1320140,-4269205
1350140,-4219205
1370140,-4229205
1570140,-2779205
1580140,-2809205
1600140,-2799205
1460140,-4149205
1470140,-4129205
1520140,-3809205
1540140,-3719205
1540140,-3959205
1540140,-3969205
1540140,-3979205
1550140,-3949205
1540140,-4059205
1550140,-3959205
1550140,-3969205.00000001
1560140,-3969205
1570140,-3929205
1560140,-3999205
1590140,-3949205
1600140,-3969205
1610140,-3969205
1620140,-3959205
1640140,-3859205
1670140,-3649205
1660140,-3749205
1720140,-3419204.99999999
1680140,-3699205.00000001
1640140,-4019205
1800140,-2909205
1680140,-3889205
1690140,-3959205.00000001
1710140,-3839205
1720140,-3809205
1720140,-3829205
1720140,-3849205.00000001
1730140,-3809205
1730140,-3829205
1740140,-3819205
1770140,-3699205
1800140,-3569205
1850140,-3409205
1810140,-3619205
1840140,-3459205
1830140,-3559205
1840140,-3479205
1840140,-3509205
1860140,-3459205
1870140,-3419205
1860140,-3529205
1830140,-3729205.00000001
1870140,-3479205
1890140,-3419205
1890140,-3439205.00000001
1920140,-3259205
1890140,-3469204.99999999
1900140,-3469205
1930140,-3459205.00000001
1980140,-3529205
