"Longitude","Latitude"
-1669860,-3239205
820140,-4199205
830140,-4189205
830140,-4219205
900140,-4149205.00000001
920140.000000003,-4119205.00000001
920140.000000003,-4129205
920139.999999999,-4149205
920140.000000001,-4099205
930140.000000001,-4109205
930139.999999999,-4079205
930140,-4089205
940140.000000003,-4099205
940140.000000002,-4119204.99999999
1000140,-4259205
1010140,-4269205
1020140,-4249205
1040140,-4279205
1040140,-4259205
1030140,-4429205
1030140,-4409205
1050140,-4409205
1050140,-4399205
1070140,-4249205
1120140,-4139205
1090140,-4539205
1080140,-4549205
1100140,-4569205
1130140,-4629205
1130140,-4649205
1140140,-4589205
1130140,-4639205
1140140,-4569205
1180140,-4189205
1130140,-4719205
1190140,-4199205
1130140,-4749205
1140140,-4709205
1160140,-4529205
1160140,-4579205
1200140,-4189205
1200140,-4209205
1160140,-4569205
1210140,-4199205
1160140,-4619205
1220140,-4209205
1220140,-4189205
1230140,-4179205
1230140,-4169205
1180140,-4669204.99999999
1170140,-4789205
1190140,-4679205
1200140,-4579205
1180140,-4779205
1190140,-4749205
1200140,-4609205
1210140,-4599205.00000001
1210140,-4619205
1260140,-4219205
1210140,-4629205
1220140,-4579205
1210140,-4689205
1260140,-4249205
1220140,-4589205
1220140,-4609205
1220140,-4669205
1270140,-4229205
1220140,-4679205
1280140,-4219205
1220140,-4699205
1210140,-4819205
1280140,-4239205
1240140,-4609205
1240140,-4669205
1280140,-4269205
1250140,-4579205
1240140,-4679205
1250140,-4629204.99999999
1300140,-4199205
1230140,-4789204.99999999
1230140,-4779205
1250140,-4639204.99999999
1260140,-4569205
1240140,-4769205.00000001
1310140,-4119205
1320140,-4089205
1300140,-4279205
1310140,-4169205
1240140,-4839205
1270140,-4599204.99999999
1270140,-4609205
1240140,-4829205
1260140,-4669205
1260140,-4759205
1260140,-4809205
1260140,-4769205
1270140,-4739205.00000001
1260140,-4779205
1340140,-4119205
1270140,-4799205
1280140,-4689204.99999999
1270140,-4789205
1270140,-4819205
1350140,-4159205
1360140,-4109205
1290140,-4729205
1290140,-4679205
1360140,-4169204.99999999
1290140,-4769205
1290140,-4779205
1290140,-4759205
1320140,-4599205
1320140,-4609205
1380140,-4169205
1310140,-4749205
1310140,-4739205
1400140,-4059205
1320140,-4729205
1330140,-4619205
1340140,-4579205
1320140,-4789205.00000001
1400140,-4139205
1400140,-4099205
1390140,-4179205
1340140,-4639205
1400140,-4169205
1410140,-4089205
1320140,-4799204.99999999
1340140,-4679204.99999999
1420140,-4069205
1410140,-4149205
1330140,-4759205.00000001
1350140,-4649205
1410140,-4159205
1350140,-4599205.00000001
1340140,-4739205
1330140,-4779205
1350140,-4669205
1340140,-4769205
1410140,-4189205
1430140,-4049205
1340140,-4789205
1430140,-4019205
1360140,-4569205
1360140,-4639205
1340140,-4799205
1380140,-4469205
1420140,-4119205
1420140,-4169205
1370140,-4599205
1440140,-4059205
1430140,-4139205
1420140,-4209205
1390140,-4459205
1370140,-4649205
1430140,-4149205
1360140,-4749205
1380140,-4579205
1390140,-4519205
1390140,-4509205
1440140,-4119205
1430140,-4179204.99999999
1450140,-4089205
1470140,-3929205
1450140,-4109205
1400140,-4469205
1460140,-4039205
1450140,-4139204.99999999
1460140,-4069204.99999999
1460140,-4059205
1380140,-4699204.99999999
1450140,-4129205
1460140,-4029205
1380140,-4689205
1450140,-4169205
1450140,-4149205
1480140,-3999205
1490140,-3979205
1470140,-4129205
1480140,-4059205
1480140,-4069205
1470140,-4179205
1490140,-4089205.00000001
1490140,-4159205
1490140,-4169204.99999999
1490140,-4179205
1520140,-3969205
1520140,-3959205
1490140,-4219205
1520140,-3949205
1530140,-3959205
1500140,-4209205
1530140,-4179205.00000001
1540140,-4189205
1570140,-4059205
1560140,-4189205
1910140,-3539205
