"Longitude","Latitude"
-1829860,-2819205
-1829860,-2779205
-1809860,-2919205
-1819860,-2819205
-1819860,-2839205
-1809860,-2809205
-1799860,-2819205.00000001
-1819860,-2669205
-1839860,-2489205
-1779860,-2879205
-1759860,-2899205
-1729860,-3119205
-1749860,-2929205
-1739860,-2939205
-1689860,-3139205
-1669860,-3239205
-1679860,-3129205
-1679860,-3109205
-1699860,-2819205
-1649860,-3139205
-1689860,-2819205
-1649860,-3099205
-1619860,-3199205
-1629860,-2929205
-1609860,-3059205
-1589860,-2999205
-1579860,-3089205
-1599860,-2889205
-1549860,-3239205.00000001
-1569860,-3069205
-1559860,-3069205
-1619860,-2589205
-1519860,-3389205
-1549860,-3019205
-1489860,-3429205.00000001
-1489860,-3259205.00000001
-1529860,-2929204.99999999
-1479860,-3259205
-1449860,-3439205
-1509860,-2919205
-1459860,-3189205
-1519860,-2719205
-1449860,-3249205
-1499860,-2809205
-1449860,-3199205
-1439860,-3289205
-1439860,-3249205
-1409860,-3479205
-1459860,-2919205
-1419860,-3299205
-1419860,-3229205
-1439860,-2939205
-1409860,-3199205
-1389860,-3339205
-1409860,-3039205
-1369860,-3349205
-1399860,-2879205
-1369860,-3139204.99999999
-1369860,-3119205
-1369860,-2929205
-1339860,-2949205
-1329860,-2949204.99999999
-1319860,-3079205.00000001
-1319860,-3049205
-1229860,-3419205
-1159860,-3449205
-1239860,-2579204.99999999
-1239860,-2489205
-1149860,-3359205
-1159860,-2919205
-1169860,-2709205
-1139860,-2959205
-1089860,-3299205.00000001
-1089860,-3329205
-1069860,-3359205
-1039860,-3419205
-1049860,-3239205
-1049860,-3269205
-1029860,-3359205
-1039860,-3259205
-1029860,-3259205
-1009860,-3369205
-1009860,-3329205
-999859.999999999,-3369205
-1009860,-3199205
-969860,-3529205
-1019860,-2899205
-959859.999999999,-3529205
-949860,-3539205
-979860.000000001,-2869205
-999859.999999999,-2469205
-899860.000000001,-3519205
-889860,-3509205
-849860.000000001,-3519205
-829860,-3529205
-819859.999999999,-3539205
-829860,-3329205
-749859.999999998,-3069205
-719859.999999999,-3089205
-649859.999999999,-3239205
-639859.999999999,-3399205
-469860,-3379205
-479860,-2839205
-459860,-3249205
-369859.999999999,-3369205
-369860,-2699205
-329860,-3409205
-339860,-2799205
-339860.000000001,-2819205
-329860,-2649204.99999999
-289859.999999997,-2839205
-279860.000000001,-2819205
-279859.999999999,-2909205
-269859.999999999,-2699205
-259859.999999998,-2829205
-259860,-2719204.99999999
-249860,-3099205
-249860.000000001,-2819205
-239859.999999997,-3349205.00000001
-209859.999999999,-2929205
-209859.999999999,-2959205
-199860.000000001,-2959205
-199860.000000001,-2759205
-189860,-2959205
-189859.999999999,-2839205
-189859.999999999,-2569205
-179860,-3309205
-179859.999999999,-2819205
-169860.000000001,-2769205
-159860.000000001,-2979205
-159860.000000001,-2649205
-149859.999999999,-3329205
-149859.999999999,-2639205
-149860.000000001,-2989205
-129860.000000001,-2969205
-129859.999999999,-2849205
-129859.999999999,-2739205
-109860.000000001,-2839205
-109859.999999999,-2779205
-99860.0000000006,-2739205
-69859.9999999998,-2819205
-49859.9999999993,-2919205
-39859.9999999994,-2619205
-39859.9999999999,-3259205
-29859.9999999984,-2629205
-29860.0000000003,-3299205
-29859.9999999998,-2849205
-19859.9999999992,-2809205
-19859.9999999988,-2629205
-19860.0000000009,-2849205
-9859.99999999803,-2639205
-9859.99999999962,-2849205
-9859.99999999906,-2759205
139.999999998864,-2639205
10139.9999999991,-2849205
20140.0000000002,-3109205
30140.0000000001,-2669205
40140.0000000008,-2629205
40140.0000000003,-2929205
50139.9999999989,-2929205
50140.0000000013,-2539205.00000001
70140,-2929205
80139.9999999988,-2599205
80139.9999999998,-2879205
110140,-2609205
110139.999999999,-3209205
110140,-3299205
130139.999999999,-2609205
150140.000000001,-2859205
160140,-2629205
170140.000000001,-2629205
170140.000000001,-2539205.00000001
160140,-2919205
170140.000000001,-2559205
170140.000000001,-3299205
180139.999999999,-2519205
180140,-2569205
180140,-2829205
190140.000000002,-2529205
190140.000000001,-2509205
190140.000000001,-2569205
190140,-2589205
190140.000000004,-2839205
200140.000000002,-2599204.99999999
210140,-3029205
210140.000000001,-2919205
220139.999999999,-2689205
210140.000000003,-3339205
220140.000000001,-3089205
220140.000000002,-3169205
220140.000000001,-2809205
220140.000000001,-3039205
230140.000000004,-2839205.00000001
