"Longitude","Latitude"
-919859.999999999,-1799205
-899859.999999999,-1759205
-869860.000000001,-1809205
-829859.999999999,-1819205
-809860.000000001,-1669205.00000001
-799860,-1659204.99999999
-779860,-1649205
-719860.000000001,-1839205
-719859.999999999,-1589205
-709859.999999999,-1739205
-699860,-1799205
-679860,-1599205.00000001
-669859.999999998,-1589205.00000001
-599860.000000001,-1759205
-589860.000000001,-1729205
-589859.999999999,-1659205
-549859.999999999,-1559205
-489859.999999999,-1849205
-429860,-1709205
-419860.000000001,-1699205
-419860,-1609205
-369860.000000001,-1779205
-359860.000000001,-1589205
-359860,-1659205
-349860,-1689205
-349860,-1839205
-349859.999999999,-1629205
-349860,-1719205
-349860,-1679205
-339860,-1799205
-309859.999999996,-1679205
-289860.000000001,-2109205.00000001
-279859.999999999,-1639205
-229859.999999999,-1549205
-219859.999999999,-1569205
-199859.999999999,-2049205
-209859.999999999,-1389205
-199859.999999999,-1689205
-199860.000000001,-1519205
-179860.000000001,-1999205
-189860.000000001,-1209205
-189860,-1199205
-179859.999999999,-2009205
-179860,-1229205
-169859.999999999,-1669205
-159860,-1599205
-159860.000000001,-1219205
-149860,-1389205
-139859.999999999,-1499205
-139860,-1469205
-139859.999999998,-1459205
-129860.000000001,-1569205
-129860.000000001,-1439205
-129860,-1429205
-119860,-1309205
-109859.999999999,-1599205
-109860.000000001,-1339205
-99860.0000000004,-1569205
-99859.9999999989,-1409204.99999999
-99860.0000000003,-1249205
-99859.9999999989,-1329205
-89859.9999999978,-1489205
-89859.9999999983,-1689205
-79859.9999999998,-1289205
-79860.0000000012,-1379205
-79859.9999999977,-1209205
-59860.0000000012,-1339205
-59859.9999999998,-1299205
-29859.9999999985,-1479205
-19859.9999999996,-1339205
-9859.99999999882,-1309205
-9859.99999999663,-1179205
139.999999998879,-1499205
139.999999998945,-1389205
10140.0000000007,-1489205
20140.0000000012,-1499205
20140.0000000013,-1429205
30140.0000000018,-1329205
40139.9999999993,-1319205
50139.999999999,-1519205
50140.000000001,-1419205
50140.0000000005,-1379205
50140.0000000035,-1509205
50140.0000000008,-1479205
50140.0000000032,-1539204.99999999
60139.999999999,-1199205
60140.0000000005,-1299205
60139.9999999992,-1469205
70140,-1279205
70139.9999999997,-1489205
80140.0000000007,-1359205
80140.0000000007,-1509205
80139.9999999993,-1349205
80140.0000000024,-1339205
90139.9999999994,-1399205
100140,-1299205
100140.000000001,-1339205
100140,-1279205
100140,-1319205
100139.999999999,-1349205
110140.000000001,-1309205
120140.000000001,-1329205.00000001
120140.000000004,-1579205
150139.999999999,-1299205
150140,-1319205
150140.000000002,-1329205
180139.999999999,-1369205
180140.000000001,-1909205
180140.000000001,-1929205
200139.999999999,-1359205
210139.999999999,-1629205
220140.000000001,-1339205
230139.999999999,-2039205
240139.999999999,-1519205
240140,-1499205
250140.000000001,-1339205
250140,-1509205
250140.000000004,-1319205
240140.000000001,-2169205
260140,-1559205
280139.999999999,-1429205
270140,-1669205
270140.000000001,-1759204.99999999
360140.000000001,-1699205
360140,-1639205.00000001
370140.000000004,-1669205
400139.999999999,-1269205
400139.999999999,-1629205
440139.999999999,-1739204.99999999
450139.999999999,-1429205
450139.999999999,-1719204.99999999
470140.000000001,-1279205
460140,-1709205
470140.000000004,-1679205
490139.999999999,-1499205
530140,-1189205
500140.000000001,-1959205
510140.000000003,-1749205
550139.999999999,-1689205
540140.000000003,-1999205
540139.999999999,-2009205
550139.999999999,-1859205
610140.000000001,-1849205
620140,-1869205
640140.000000002,-1889205
640140.000000002,-1999205
650139.999999999,-1879205
650139.999999999,-1999205
670139.999999999,-1829205
670139.999999999,-1979205
670140,-1879205.00000001
690139.999999998,-2039205.00000001
760140.000000001,-1889205
760140.000000002,-1879205
750139.999999999,-2109205
770140,-2109205
810140.000000003,-1779205
950140.000000002,-1939205.00000001
960140.000000004,-1919205
1030140,-1909205
1070140,-1419205
1100140,-1319205
1090140,-1379205
1100140,-1349205
1120140,-1379205
1160140,-1119205
1090140,-1959205
1090140,-1969205.00000001
1090140,-1999205
1160140,-1219205
1100140,-2009205
1160140,-1249204.99999999
1160140,-1289205
1180140,-1289205
1150140,-1769204.99999999
1130140,-1999205
1180140,-1429205
1200140,-1299205
1140140,-1999205
1220140,-1399205
1250140,-1369205
1250140,-1509205
1210140,-2089205
1260140,-1529205
1250140,-1739205
1260140,-1649205
1250140,-1939204.99999999
1300140,-1879205
1330140,-1589205.00000001
1340140,-1719205
1310140,-2109205
1320140,-2259205
1390140,-1689205
1390140,-1699205
1340140,-2259205
1410140,-1669205
1430140,-1749205
1430140,-1719205
1430140,-1709205
1430140,-1689205
1430140,-1699205
1420140,-1889205
1440140,-1729205
1450140,-1659205
1420140,-1939205
1420140,-1949205
1430140,-1899205
1400140,-2249205
1450140,-1929204.99999999
1460140,-1899205
1450140,-2059205
1420140,-2439205
1470140,-2029205
1470140,-2019205
1480140,-2039205
1490140,-1999205.00000001
1480140,-2119205
1510140,-2129205
1520140,-2129205
1520140,-2139204.99999999
1540140,-2159205
1540140,-2149204.99999999
1540140,-2179204.99999999
1670140,-2249204.99999999
1660140,-2379205.00000001
1710140,-2289205
1790140,-2449205
1790140,-2489205
1850140,-2589205
1860140,-2549205
1880140,-2589205
1890140,-2589205.00000001
1940140,-2729205
1980140,-2919205
2000140,-2809204.99999999
2010140,-2819205
2030140,-2869205
2020140,-2929205
1990140,-3379205
2040140,-3109205
2050140,-3089205
2060140,-3029205
2030140,-3169205
2070140,-2999205
2000140,-3399205
2050140,-3119205.00000001
2070140,-3049205
2060140,-3079205
2070140,-3029205
2050140,-3159204.99999999
2060140,-3099205
2060140,-3169205
2060140,-3189205
2060140,-3259205
2040140,-3379205
2050140,-3339205
