"Longitude","Latitude"
2010140,-2839205
2010140,-2859205
2030140,-2859205
2030140,-2889204.99999999
2040140,-2879205
2050140,-2889205
2050140,-2929205
2060140,-2949205
2050140,-3019205
2040140,-3089205
2060140,-2969205
2050140,-3079205
2070140,-2969204.99999999
2070140,-2989205
2060140,-3009205
2070140,-3009205
2060140,-3069205
2080140,-2939205
2060140,-3099205
2070140,-3029205
2070140,-3049205
2080140,-2979205
2070140,-3069204.99999999
2100140,-2899205
2070140,-3099204.99999999
2110140,-2849205
2070140,-3159205
2070140,-3199205
2090140,-3119205
2080140,-3169205
2090140,-3149205
2070140,-3219205
2080140,-3249205
2070140,-3279205
2080140,-3289205.00000001
