"Longitude","Latitude"
920140.000000001,-4109204.99999999
920140.000000003,-4119205.00000001
940140,-4109205
1040140,-4099205
1070140,-4129205
1080140,-4189205
1210140,-4079205
1250140,-4069204.99999999
1250140,-4089205.00000001
1250140,-4079205
1240140,-4149205
1250140,-4139205
1250140,-4099205
1270140,-4089205
1290140,-4079205
1270140,-4219205
1270140,-4209205
1230140,-4609205
1270140,-4229205
1280140,-4239205
1290140,-4189205
1230140,-4729205
1240140,-4719205
1240140,-4699205
1300140,-4199205
1310140,-4189205
1250140,-4709205
1260140,-4699205.00000001
1320140,-4209205.00000001
1320140,-4239205
1290140,-4559205
1270140,-4729205
1260140,-4759205
1260140,-4789205
1270140,-4739205.00000001
1270140,-4749205
1280140,-4709204.99999999
1270140,-4799205
1340140,-4189205
1280140,-4759204.99999999
1290140,-4739205
1290140,-4729205
1280140,-4819205
1280140,-4769205
1280140,-4789205
1280140,-4779205
1360140,-4169204.99999999
1290140,-4749205
1290140,-4809205
1290140,-4799205
1300140,-4759205
1300140,-4769205
1300140,-4779205
1320140,-4729205
1320140,-4759205
1330140,-4619205
1320140,-4719205
1340140,-4639205
1340140,-4629205
1340140,-4609205
1330140,-4739205
1420140,-4029205
1400140,-4149205
1420140,-4019205.00000001
1330140,-4799205
1350140,-4619205
1380140,-4449205
1340140,-4789205
1410140,-4169205
1360140,-4639205
1350140,-4729205
1380140,-4459205
1380140,-4609205
1450140,-4049205
1400140,-4479205
1440140,-4159205
1380140,-4629205
1380140,-4599205
1460140,-4039205
1460140,-4029205
1400140,-4469205
1380140,-4639205
1390140,-4619205
1440140,-4189205
1380140,-4689205
1380140,-4679204.99999999
1380140,-4699204.99999999
1460140,-4169205
1470140,-4209205
1530140,-3989205
1540140,-3989205
1550140,-4079204.99999999
1540140,-4169205
1540140,-4209205
1540140,-4179205
1560140,-4069204.99999999
1550140,-4189205
1570140,-4089204.99999999
1570140,-4209205
1590140,-4079205
1630140,-3989205
1770140,-3759205
