"Longitude","Latitude"
-89860.0000000008,-2689205
-29860.0000000012,-2739205
139.999999999574,-2729205
10140.0000000002,-2739205
40139.9999999998,-2729205
50140.0000000034,-2719205
70140.0000000024,-2739205
80140.0000000008,-2709205
90140.0000000004,-2729205
120140.000000004,-2679205
130140.000000001,-2649205
130140,-2739205
140139.999999999,-2739205
160140,-2629205
160139.999999999,-2749205
170139.999999999,-2709205
180139.999999999,-2679205
200140,-2609205
240139.999999999,-2739205
240139.999999999,-2759205
240139.999999999,-2519204.99999999
240140.000000001,-2719205
290140.000000004,-2649205
280140,-3139205
290139.999999999,-2809205
310139.999999999,-2619205
300140.000000001,-2899205
320139.999999999,-2649205
320140,-2949205
330140,-2819205
310140.000000003,-3389205
320140.000000001,-3429205
330140,-2889205
340140,-2729205
340140,-2749205
340140.000000001,-2889205
340139.999999999,-3179205
350140,-2599204.99999999
350139.999999999,-2869205
330140.000000001,-3499205
350140,-2749205
350139.999999999,-2999205
360140,-2729205
360140,-2649205
360140,-2809205
360140,-2959205
360140,-3019205
370140,-2909205
370140,-3059205
380140,-2669205
380140.000000001,-2639204.99999999
370140,-3029205
380140.000000002,-2869205
360140,-3389205
380140.000000001,-2889205
380140,-3039205
390140.000000002,-3059205
390140.000000002,-3149205
390139.999999999,-3179205
410140,-2679205
400139.999999999,-2869205
390139.999999999,-3419205
400139.999999999,-3059205
410140.000000001,-2849205
390139.999999999,-3449205
410139.999999999,-2869205
400139.999999999,-3149205.00000001
410140,-3049205
410140.000000001,-3289205
430140,-2869204.99999999
420140,-3179205
410140,-3309205
420140.000000002,-3299205
420140,-3159204.99999999
430140,-3089205
440140,-2779205
430140.000000001,-3169205
430139.999999999,-3229205
440139.999999999,-3159205.00000001
460139.999999999,-2609205
440140,-3179205
450140,-2879205
460139.999999999,-2809205
460140,-2649205
470140,-2609205
460140,-3019205
470140.000000003,-2739205
480140,-2889205
460139.999999999,-3249205
470140,-3219205
480139.999999999,-2809205
460140,-3369205
470139.999999999,-3249205
470140.000000002,-3419205
480140,-3289205
480140.000000001,-3259205.00000001
480140,-3419205
490140.000000001,-3259205
510139.999999999,-2669205
490140,-3319205
520139.999999999,-2579205
500140.000000003,-3229205
500139.999999999,-3199205
530139.999999999,-2509205
530140,-2559205
520140,-3089205
520140,-3199205
530140.000000001,-2949205
530140.000000003,-2969204.99999999
520140.000000002,-3229205
520140,-3349205
530139.999999999,-3249205
530140.000000003,-3479205
530140.000000001,-3459205
550140,-3169205
570140.000000002,-2799205
580140,-2889205
560140.000000001,-3289205
560140,-3309205
570139.999999999,-3189205
590140,-2809205
580140,-3039205
590140,-2829205
580140,-3319204.99999999
600140.000000001,-2849205
590140,-3049205
590140,-3109205.00000001
600140,-2819205
600139.999999999,-2899205
590139.999999999,-3249205.00000001
600140.000000002,-3199205
610140.000000001,-2899205
620139.999999999,-2909205
610140,-3019205
600140.000000001,-3359205
630139.999999999,-2719205
650140.000000001,-2599205
640139.999999999,-2949205
630140.000000001,-3299205
620139.999999999,-3429205
670139.999999999,-2599205
640140,-3129205
640140,-3099205
670139.999999999,-2739205
660140.000000001,-3219205
660139.999999999,-3109205
690140,-2939205
710139.999999999,-2829205
700140,-3069205
720140,-2829205
730140.000000001,-2819205
730140.000000001,-2879205
730140.000000001,-2939205
720139.999999999,-3189205
750140,-2629205
740140,-2919205
730140.000000001,-3019205
720139.999999999,-3349205
760140.000000001,-2619205
760139.999999999,-2679205
730140,-3249205
720139.999999999,-3399205
740140.000000001,-3279205
750140.000000001,-3009205
740140,-3319205
760140.000000004,-3009205
750140,-3229205
760140,-3219205
770139.999999999,-3219205
760139.999999999,-3349205
770140,-3199205
770139.999999999,-3359205
780140,-3189205
780139.999999999,-3069205
790140.000000002,-3029205
770140.000000001,-3259205
780140.000000003,-3169205
770140,-3389205.00000001
800140,-2979205
770139.999999999,-3409205
780140.000000003,-3239205
780140,-3409205
790140.000000002,-3139205
820139.999999999,-2809205
800140.000000001,-3349205
830140,-2849205
850139.999999999,-2829205
810140.000000001,-3389205
850140.000000001,-2959205
850140.000000003,-2939205
850140.000000001,-2989205
850139.999999999,-3039205
850140.000000001,-3179205
860140.000000001,-3029205
830140.000000001,-3419205
840140,-3389204.99999999
890140.000000001,-2599204.99999999
850140.000000001,-3309205
870140,-2939205
870139.999999999,-3179205
890140,-3029205
870140,-3399205
890139.999999999,-3209205
940139.999999999,-2819205
960140,-3209205
960140.000000001,-3319205
980140.000000001,-3289205
1010140,-3269205
