"Longitude","Latitude"
-269860,-2809205
-149859.999999999,-2639205
-99859.9999999989,-2709205
-99860.0000000006,-2739205
-99860.0000000004,-2639205
-49860.000000001,-2619205
-29860.0000000006,-2599204.99999999
-29859.9999999984,-2629205
-19859.9999999974,-2769205
-9859.99999999803,-2639205
-9859.99999999906,-2759205
20140.000000001,-2519205.00000001
20139.9999999994,-2669205
30139.9999999997,-2559205
30140.000000001,-2709205
50140.0000000008,-2829205
60140.0000000005,-2719205
70140.0000000008,-2549205
90140.0000000012,-2879205
110140.000000001,-2749205
120140.000000001,-2729205
120140.000000001,-2709205
120140.000000001,-2859205
120139.999999999,-2879204.99999999
130139.999999999,-2929205
130139.999999999,-2859205
130140,-2739205
130140,-2799205.00000001
130140,-2659205
130140,-3239205
140140,-2569205
150140,-2739205
150139.999999999,-2539205
160139.999999999,-2969204.99999999
180140,-2649205
180139.999999999,-3159204.99999999
200140,-2539205
200140,-3009205.00000001
200140.000000001,-2989205
210140,-3039205
210140,-2639205
250140,-2469205
240139.999999999,-3009205
240139.999999999,-3069205.00000001
250140,-2539205
260140,-2479205
270139.999999999,-2489205
280140,-3139205
290140.000000002,-2859205
280139.999999999,-2999205
300140,-2879205
300140,-3349205
320140.000000002,-2929205
320140,-2749205
310140,-3169205
310139.999999999,-3349205
330140,-2659205
320139.999999999,-3359205
320140,-3339204.99999999
330140.000000001,-3269204.99999999
330139.999999999,-3309205
340139.999999999,-3329205
350140,-3269205
370140,-3059205
380140.000000001,-2769205
380140.000000001,-3119205
390140.000000002,-3099205
400140,-3119205
440140,-3179205
460140,-3019205
460140.000000004,-3339205
470140,-3209205
490139.999999999,-2819205
480140,-3219205
480140,-3389205
480140.000000001,-3259205.00000001
480140.000000001,-3489205
490140.000000001,-3209205
480140,-3509205
490140,-3329205
500140.000000003,-3229205
490139.999999999,-3459205
510140.000000001,-3239205
510140.000000004,-3319205
510139.999999999,-3219205
520140.000000002,-3229205
530139.999999999,-3229205
520139.999999999,-3509205
530140.000000001,-3469205
540140,-3239205
550140,-3229205
540139.999999999,-3509205
560140,-3239205
570140.000000001,-3239205
580140.000000001,-3309205
580140.000000003,-3339205
620139.999999999,-2529204.99999999
580140.000000001,-3239205.00000001
590139.999999999,-3249205.00000001
580140.000000001,-3289205
580140,-3369205
590140.000000001,-3389204.99999999
590140,-3329205
600139.999999999,-3289205.00000001
590140,-3409205
600140,-3449205
620140.000000001,-3019205
600140,-3339205
600140.000000003,-3399204.99999999
620140,-3169205
610140,-3349205
610139.999999999,-3329205
610140,-3369205
600140.000000003,-3479205
610140,-3309205
620140,-3339205
610140.000000001,-3409205
630139.999999999,-3179205
620139.999999999,-3429205
620140.000000001,-3299205
630139.999999999,-3309205
650140,-3049205
640140.000000003,-3289205
640140,-3429205
640140,-3409205
650140,-3309205
650139.999999999,-3289205
650140.000000001,-3249205
650139.999999999,-3409205
650140.000000002,-3349205
660140.000000001,-3349205
670139.999999999,-3279205
670140.000000001,-3309205
660140.000000001,-3489205
670140,-3359205
680140.000000003,-3349205
680140.000000001,-3329205
680140,-3369205
690139.999999999,-3359205
690140,-3339205
680140,-3449205
690140,-3389205
700140.000000001,-3269205
690140.000000003,-3519205
700140.000000002,-3319205
710140.000000001,-3319205
710140.000000001,-3229205
710140,-3269205
710140,-3339204.99999999
720140,-3299205
730140.000000001,-3279204.99999999
730140.000000003,-3419205
740140.000000002,-3409204.99999999
760140.000000003,-3259205
750140.000000002,-3409205
770140.000000001,-3249205
850140.000000002,-3339205
910139.999999999,-3329205
920140,-3289205
920140,-3419205
940140.000000002,-3239205
940139.999999999,-3259205
950140,-3219204.99999999
950140.000000001,-3369205
960140.000000001,-3319205
970140.000000001,-3429205
