longitude,latitude
138.4,-33.43
138.533333,-31.416667
138.538868,-34.055111
138.582497,-35.590119
138.6167,-33.3
138.773312,-34.270943
138.8167,-34.05
138.8333,-33.55
138.833333,-33.55
138.967,-35.344
139.083333,-35.083333
139.083333,-35.083333
139.0942,-35.0667
139.2122,-35.2578
139.2122,-35.2578
140.25,-36.97
140.32,-36.93
140.366667,-36.966667
140.366667,-36.966667
140.3667,-36.9667
140.465831,-37.210391
140.483333,-37.033333
140.547495,-37.055389
140.697222,-37.124444
140.7,-37.133333
140.7,-37.116667
140.73915,-36.323439
140.868,-36.324
140.869444,-36.324167
141.25,-36.38
141.5167,-36.2667
141.5167,-36.2667
141.6666667,-35.6666667
141.6667,-36.3333
141.7333333,-36.35
141.7833333,-36.35
141.8167,-35.6
141.85,-36.2333
141.9167,-36.3333
141.9167,-36.0833
141.9167,-36.0833
141.9167,-36.0667
141.9167,-35.6167
141.9333,-36.3833
141.9333,-35.8
141.9333,-35.7833
141.9333333,-35.56666667
141.9666667,-35.75
141.9666667,-35.75
141.9667,-36.1333
141.9667,-35.9
141.98,-36.42
141.98,-36.42
142,-35.7667
142,-35.58
142.05,-35.55
142.05,-35.55
142.0503,-36.1561
142.0625,-35.5778
142.1,-36.5167
142.1833333,-36.7
142.1833333,-36.7
142.3333333,-36.6833333
142.3333333,-36.6833333
142.5222,-36.6231
143.9333,-35.7667
145.0639,-37.7178
145.0639,-37.7178
145.064,-37.7178
145.06489,-37.71639
145.064951,-37.716467
145.82,-35.65
146.25,-34.08
146.47,-33.92
146.55,-33.8833
146.5667,-34.8
146.57,-34.28
146.57,-33.38
146.58,-34.83
146.63,-33.73
146.65,-33.72
146.65,-33.6833
146.655,-33.693
146.6667,-33.65
146.758,-33.65
146.7583,-33.65
146.76,-33.65
146.8,-34.1667
146.82,-33.85
146.9,-33.38
146.95,-33.87
146.95,-33.87
146.98,-33.87
146.98,-33.87
146.98,-31.95
147,-34.05
147.0167,-33.8833
147.02,-33.87
147.05,-33.8833
147.05,-33.8833
147.0667,-33.9
147.07,-33.92
147.08,-33.95
147.0833,-33.9
147.0833333,-33.9
147.0858,-34.0547
147.0858,-34.0547
147.086,-34.0547
147.1,-34.03
147.13,-33.92
147.13,-33.92
147.1667,-34
147.2,-33.92
147.2,-33.9167
147.2166667,-33.9
147.22,-33.92
147.232,-33.7747
147.232,-33.7747
147.2325,-33.7747
147.2325,-33.7747
147.2325,-33.7747
147.2325,-33.7747
147.233,-33.95
147.25,-33.92
147.25,-33.9
147.3,-33.9167
147.3,-33.9
147.329,-32.578
147.47,-34.33
147.48,-34.35
147.5,-34.8667
147.5,-34.35
147.5,-32.75
147.5,-32.7167
147.78,-33.17
147.8,-33.68
147.82,-33.67
147.85,-33.68
148,-34.1
148.02,-34.1
148.02,-33.38
148.23,-32.93
148.62,-31.95
148.67,-32
148.7,-31.97
148.73,-32
148.7333,-32
149.15,-32.67
149.15,-32.67
150.58,-34.3
