longitude,latitude
135.3203,-15.2972
135.32053,-15.29736
135.321,-15.297
135.35,-15.3333
135.933,-27.2667
135.933333,-27.266667
136.3845054,-15.6485568
136.633333,-28.2
141.07,-17.65
141.0833,-17.6667
141.084287,-17.665349
142.35,-36.6167
142.9,-36.65
142.9167,-37.2667
142.9833,-36.6333
143.147993,-34.719522
143.15,-34.7167
143.3,-35.0083
143.33,-34.97
143.3333,-34.9667
143.3333,-34.9667
143.3333,-34.9667
143.35,-35.1333
143.35,-35.1333
143.35,-35.1333
143.35,-35.13
143.5,-35.3
143.5167,-35.8667
143.5167,-35.8667
143.53,-35.3
143.5333,-35.3167
143.5333,-35.3
143.5333,-35.3
143.5333,-35.3
143.5333,-35.3
143.7333,-36.1167
143.7333,-36.1167
143.7333,-36.1167
143.73433,-36.11528
143.925,-35.8583
143.9855556,-35.58333333
143.9967,-35.5833
143.9967,-35.5833
143.9967,-35.5833
143.997,-35.5833
143.997,-35.5833
143.99766,-35.58194
144.1167,-35.65
144.13,-35.45
144.1333,-35.45
144.1333,-35.45
144.1333,-35.45
144.15,-35.7333
144.15,-35.7333
144.2,-35.5667
144.2,-35.5667
144.2,-35.55
144.2017,-35.5669
144.2017,-35.5669
144.202,-35.5669
144.202,-35.5669
144.202713,-35.565629
144.202713,-35.565629
144.2666667,-26.6
144.5022,-37.8986
144.5022,-37.8986
144.5022,-37.8986
144.8167,-36.5167
144.8667,-36.4667
144.8667,-36.4667
144.8667,-36.4667
144.867715,-36.465351
145.1883,-36.1267
145.3167,-36.2167
145.33,-16.8
145.33,-16.8
145.33,-16.75
145.3333,-16.95
145.3333,-16.8
145.37,-16.85
145.4333,-35.8333
145.7,-36.0833
145.7667,-36.5667
145.8833,-36.5833
145.9083,-36.1583
145.9083,-36.1583
145.9333,-36.6
145.9333,-36.6
145.95,-36.6333
146.12,-34.62
146.1667,-36.3
146.167,-36.303
146.1672222,-36.3027778
146.1672222,-36.30277778
146.349655,-37.636456
146.35,-36.3333
146.35,-36.3333
146.35,-36.3333
146.35,-36.33
146.58,-34.82
146.5833,-34.8167
146.5833,-34.8167
147.0333,-38.1167
147.13,-33.1
147.13,-33.1
147.15,-33.0833
147.15,-33.0833
147.15,-33.0833
147.55,-33.7514
147.7833,-36
148.2667,-37.8
149.0167,-35.2667
149.07,-30.37
149.1,-34.6
149.1167,-34.6
149.7667,-25.5
149.7667,-25.5
150.05,-36.26
150.369,-34.8319
150.524,-34.5772
150.65,-33.77
150.9166667,-30.56666667
150.92,-30.57
150.9833,-24.3667
151.0833,-26.3833
151.12,-33.92
151.1666667,-29.83333333
151.25,-32.88
151.3777778,-30.01166667
151.433,-33.2558
151.45,-29.45
151.5,-30.5
151.542,-30.0531
151.7,-29.21666667
151.8,-30.6
151.8667,-29.5667
151.8667,-29.5667
151.9,-25.4833
151.92,-24.25
151.9333,-28.9167
152.0333,-24.65
152.0333,-24.65
152.15,-28.7833
152.317,-32.4
152.583,-29.85
152.67,-26.18
152.8,-31.32
152.8333,-31.1667
152.927,-30.4575
153.017,-30.8667
153.017,-30.8667
153.0544,-27.3125
153.13,-29.55
153.13,-29.55
153.2,-29.83
153.2,-29.82
153.3,-28.1
153.42,-28.85
153.42,-27.97
153.518,-28.8067
153.52,-28.8061
153.52,-28.8061
