longitude,latitude
141.3333,-38.05
141.3667,-37.9167
141.9667,-38.1167
142.5,-37.1667
142.5167,-37.1167
142.5167,-37.1167
143.9167,-38.55
144,-38.4833
144.05,-38.45
144.0841351,-19.58183877
145.0167,-38.35
145.0189048,-16.13749227
145.1758481,-16.36665753
145.2167,-37.75
145.2897,-37.9367
145.3472222,-37.8938889
145.3653,-37.9069
145.4333,-17.2833
145.4333,-17.2833
145.4416667,-17.29166667
145.5,-37.6833
145.9167,-37.2917
146.28436,-41.51529
146.3,-41.5
146.3,-41.5
146.3667,-36.9167
146.4333,-38.0219
146.4677,-41.48195
146.4833,-36.8667
146.5167,-38.7667
146.6177,-41.26528
146.6258402,-19.40691906
146.6425066,-19.40691901
147.2,-41.1
147.7167,-37.9667
147.95,-42.42
148.0125,-37.3208
148.0925059,-23.55690193
148.16767,-41.23193
148.1778,-37.3778
148.2,-41.5
148.2,-41.5
148.20025,-41.62389
148.2167,-37.4667
148.21768,-41.86527
148.25,-42.02
148.25,-37.4833
148.25018,-42.05443
148.28434,-41.88193
148.28434,-41.88193
148.3,-41.3
148.3,-41.2
148.32,-41.25
148.595609,-21.40873211
148.6667,-35.1
148.8333,-35.3167
148.8333,-35.3167
148.8333,-35.3
148.834317,-35.315317
148.8708333,-25.59611111
148.9167,-37.5833
149.0258162,-21.07357194
149.05,-31.27
149.0667,-35.05
149.0841613,-23.91523035
149.0841613,-23.91523035
149.1386,-35.1628
149.3833,-36.6917
149.3833,-36.6917
149.5333,-36.8333
149.5333,-36.8333
149.5333,-35.7333
149.55,-36.8083
149.57,-33.7
149.57,-33.7
149.5833,-36.8083
149.6833,-35.7333
149.7333,-37.6167
149.7389,-36.1722
149.75,-37.5
149.75,-35.5833
149.75,-35.5833
149.75,-35.5833
149.75,-35.5833
149.75,-35.5833
149.75,-35.5833
149.75,-35.5833
149.75,-35.58
149.7583,-35.5708
149.761,-36.577
149.7667,-37.5
149.8,-35.5611
149.92,-36.77
150.0567,-36.3889
150.1,-30.27
150.15,-34.12
150.1667,-33.9167
150.2,-34.8
150.2167,-35.1833
150.2255067,-33.08089221
150.2667,-34.5667
150.2667,-33.1167
150.3336827,-22.68202075
150.3759989,-35.53740506
150.3833,-35.55
150.5,-34.7333
150.511,-33.779
150.6,-34.97
150.6667,-35.15
150.7181435,-33.82203975
150.7314075,-33.7996172
150.83,-31.9
150.9174722,-24.41522156
151.0746894,-23.82494467
151.2201637,-27.93736003
151.2833,-24.1667
151.2833,-24.1667
151.2924658,-24.17355397
151.3019167,-24.94197222
151.3509414,-28.69924742
151.4036017,-28.79076824
151.4591311,-24.37355276
151.5424661,-24.94021768
151.6088889,-28.02861111
151.6089482,-28.02872024
151.6450257,-26.89095933
151.9216127,-28.76689652
151.950732,-27.42335925
151.97,-29.87
151.9924662,-26.17354643
152.0653,-30.525
152.1349718,-27.49521029
152.1667,-28.8
152.301083,-27.91604229
152.325793,-25.84021229
152.336636,-27.57215366
152.3663612,-28.13604171
152.3757945,-26.25687788
152.4167,-31.7167
152.58,-31.35
152.6219733,-26.62250776
152.6427336,-25.98548837
152.68,-29.63
152.7210793,-28.30242868
152.7237547,-27.29463787
152.7261111,-28.10555555
152.74,-30.405
152.7667,-27.35
152.77,-30.42
152.7757949,-27.35687412
152.7799613,-27.32354082
152.7924613,-27.35687404
152.8667,-26.5167
152.8667,-26.5167
152.8882117,-27.66612305
152.9257878,-26.4902083
153.038444,-27.85391905
153.1757907,-27.64020514
153.1757914,-27.75687163
153.2144731,-27.91166986
153.5416642,-27.43384824
