longitude,latitude
146.4167,-37.1167
146.42,-37.12
146.7458,-37.3653
146.75,-36.75
146.7667,-37.35
146.7667,-36.7667
146.77,-36.72
146.77,-36.72
146.7833,-36.7667
146.7833,-36.75
146.85,-37.5
146.8667,-37.4667
147.13,-37.97
147.2166667,-36.8
147.2167,-36.9
147.217691,-36.915335
147.242413,-36.904779
147.2667,-36.9167
147.2667,-36.9167
147.2667,-36.9167
147.2667,-36.8833
147.2667,-36.85
147.2833,-36.9
147.2833,-36.9
147.2833,-36.8333
147.2847,-36.7444
147.2902778,-36.8783
147.2903,-36.8783
147.294,-36.9028
147.3,-36.9167
147.3328,-36.8247
147.3328,-36.8247
147.333,-36.8247
147.3333,-36.85
147.339633,-36.844223
147.35,-36.9333
147.35,-36.9333
147.362132,-36.835055
148.25,-36.45
148.25,-36.45
148.25,-36.45
148.25,-36.45
148.25,-36.45
148.25,-36.45
148.25,-36.45
148.25,-36.45
148.25,-36.45
148.25,-36.45
148.25,-36.45
148.25,-36.4167
148.25,-36.4
148.255,-36.4411
148.265,-36.4539
148.266,-36.4161
148.2664,-36.4161
148.2666667,-36.45
148.2667,-36.4833
148.2667,-36.45
148.2667,-36.45
148.2669,-36.4594
148.2672,-36.4558
148.2672,-36.4542
148.27,-36.45
148.27,-36.45
148.27,-36.45
148.27,-36.42
148.27,-36.42
148.2747,-36.4853
148.275,-36.4372
148.28,-36.45
148.2808,-36.4461
148.281,-36.4461
148.2833,-36.45
148.2833,-36.4428
148.2833,-36.4
148.2833,-36.4
148.2997,-36.4572
148.3,-36.5
148.3,-36.4833
148.3,-36.4572
148.3,-36.45
148.3,-36.4333
148.3,-36.4
148.3011,-36.4072
148.313,-36.4333
148.3133,-36.4333
148.3167,-36.4167
148.3167,-36.4167
148.32,-36.42
148.32,-36.4
148.325,-36.425
148.3256,-36.4408
148.3333,-36.4333
148.35,-36.43
148.35,-36.42
148.35,-36.42
148.355,-36.395
148.38,-36.37
148.38,-36.15
148.3808,-35.4306
