longitude,latitude
151.1667,-33.8333
151.2833,-24.1667
151.6667,-29.5333
151.9667,-32.15
152.3,-28.92
152.3,-28.92
152.3667,-30.0333
152.4166667,-29.58333333
152.4833,-28.9833
152.5,-31.7167
152.5397222,-30.65055556
152.6,-28.5167
152.676,-30.978
152.676,-30.978
152.738,-31.175
152.7833,-31.5667
152.7833,-31.5667
152.7833,-31.5667
152.7833,-31.5667
152.8,-31.5833
152.8,-26.25
152.8167,-31.2
152.8333,-26.9333
152.8333,-26.9333
152.85,-29.4333
152.9,-30.2
152.9,-30.2
152.9134,-30.8528
152.9167,-30.8667
152.9167,-30.8667
152.9167,-26.2167
152.919,-25.8
152.92,-30.87
152.92,-30.87
152.9667,-26.85
153,-30.51666667
153.0167,-27.4667
153.0323243,-30.41534872
153.0333333,-30.43333333
153.05,-30.2
153.05,-30.2
153.05,-30.2
153.05,-30.2
153.05,-27.5833
153.0666667,-27.4
153.0667,-29.9333
153.0667,-26.55
153.07,-27.55
153.07,-26.55
153.08,-27.58
153.08,-26.17
153.0833,-26.2
153.09,-27.63
153.159,-27.825
153.1833,-30.0833
153.1833,-30.0833
153.1833,-30.0667
153.1833,-29.9667
153.1833,-29.9667
153.2,-30.08333333
153.2,-30.08333333
153.2,-29.9333
153.22,-29.93
153.2206,-29.9836
153.25,-29.6333
153.3333333,-29.08333333
153.5,-27.5
153.5,-27.5
