longitude,latitude
151.93,-32.78
151.93,-32.78
151.93,-32.78
151.9333,-32.7833
151.9333,-32.7833
151.9333,-32.7833
151.9333,-32.7833
151.9333,-32.7833
153.0683,-29.4542
153.27,-29.32
153.2833333,-29.21666667
153.3,-29.43333333
153.322,-29.5769
153.33,-29.6
153.332,-29.608
153.333,-29.542
153.35,-29.53
153.35,-29.53
153.35,-29.52
153.35,-29.52
153.35,-29.52
153.35,-29.48333333
153.35,-29.48333333
153.35,-29.48333333
153.35,-29.48333333
153.35,-29.48333
153.35,-29.4833
153.35,-29.48
153.35,-29.48
153.35,-29.48
153.35,-29.48
153.35,-29.48
153.35,-29.48
153.35,-29.48
153.35,-29.48
153.35,-29.48
153.35,-29.4667
153.35,-29.32
153.355,-29.463
153.3555556,-29.46861111
153.359,-29.527
153.3608,-29.5042
153.3608,-29.5042
153.3608333,-29.5042
153.3608333,-29.5042
153.3608333,-29.50416667
153.3608333,-29.50416667
153.361,-29.5042
153.361,-29.5042
153.361704,-29.502779
153.3667,-29.4667
153.3667,-29.4667
153.37,-29.48
153.37,-29.48
153.37,-29.47
153.37,-29.47
153.37,-29.47
153.37,-29.22
153.38,-29.1
153.3833,-29.1
