longitude,latitude
142.7833,-11.7667
142.7842,-11.7653
142.7925324,-11.77362979
142.8,-11.9
142.8333,-11.9
142.8333,-11.9
142.842532,-11.9069623
142.975864,-11.97362842
143.1425288,-11.9236285
143.5167,-13.9
143.5167,-13.9
143.519,-13.902
143.5192099,-13.90259548
143.5258611,-13.89028392
144.575,-14.38722222
145.0041967,-20.41053251
145.2,-15.1
145.2,-15.1
145.2167,-15.1
145.2167,-15.1
145.2167,-15.1
145.225,-15.1083
145.2258445,-15.10694119
145.2266778,-15.11194116
145.2333,-15.1167
145.2341,-15.1153
145.2341,-15.1153
145.242,-15.125
145.242511,-15.12360774
145.2591778,-15.27360695
145.2833,-15.5833
145.2833,-15.5833
145.2833,-15.5833
145.2833,-15.5833
145.2841,-15.5819
145.284238,-15.582011
145.284238,-15.582011
145.2863889,-15.59444444
145.292,-15.5917
145.2925115,-15.590272
145.2936111,-15.59472222
145.2936226,-15.59471641
145.2956,-15.5839
145.3091766,-14.95694178
145.3109583,-15.58218056
145.345306,-20.96830761
147.5786958,-25.19225589
148.812693,-25.49628132
148.8128,-25.4936
148.8136176,-25.49217313
148.8136177,-25.49467312
148.8139604,-25.49280525
148.8147287,-25.49161757
148.8258398,-25.50689527
148.8460904,-25.51944528
148.8852056,-25.53545
148.9391667,-25.59666667
149.0424797,-20.2902414
149.075,-20.29166667
150.7,-22.6
150.7,-22.58
150.7091333,-22.59022753
150.7686111,-22.75805555
150.78,-22.87
150.7924667,-22.87355966
150.85,-28.92
150.85,-28.9167
150.95,-28.6
150.9591625,-28.60688175
150.9936056,-25.87491389
151.0784155,-27.42054229
151.6,-33.2
151.62,-33.18
151.8941248,-24.32021781
151.9174574,-24.24855124
151.92,-32.77
151.9257907,-24.25688452
151.9757903,-24.3235508
152.0950121,-24.59221626
152.33,-29.2
152.38,-29.52
152.3833333,-29.51666667
152.4646791,-25.6941009
152.4667,-24.95
152.4757863,-24.95688041
152.5333,-32.25
152.5492,-25.0933
152.5499525,-25.09187975
152.550021,-25.091955
152.57,-31.97
152.5833333,-31.96666667
152.5841187,-25.08187964
152.8,-31.68
152.9141667,-25.71138889
152.9757832,-25.77354296
153,-27.9833
153.0583333,-25.975
153.0667,-25.55
153.07,-30.92
153.07,-26.55
153.0740636,-25.69734958
153.0841166,-26.08187513
153.0841193,-26.58187408
153.0924523,-26.54020746
153.0924524,-26.55687409
153.1967,-27.0675
153.1974157,-27.06592097
153.2333333,-29.98333333
153.2333333,-29.98333333
153.2433,-24.9856
153.2441779,-24.98417476
153.246,-24.984
153.27,-29.82
153.3313889,-29.35916667
153.3424558,-27.79020412
153.3833333,-29.21666667
153.3924557,-27.90687038
153.4174544,-27.74853717
153.4174564,-28.08187002
153.43,-29.12
153.43,-29.12
153.4333,-27.8333
153.442452,-27.40687093
153.458,-27.52
153.4591166,-27.09020475
153.5,-28.9
153.5,-28.8667
153.500785,-27.49853717
153.55,-28.35
153.5667,-28.3667
153.57,-28.32
153.5708,-28.3725
153.571,-28.3725
153.616,-28.67
