longitude,latitude
145.6167,-37.7167
145.7511,-37.5117
145.8036,-37.4411
145.8036,-37.4411
145.8047,-37.4378
145.8047,-37.4378
145.8167,-37.45
145.825,-37.4292
145.8667,-37.4667
145.875,-37.5167
145.875,-37.5167
145.875,-37.5167
145.875,-37.5167
145.8818611,-37.5045833
145.9167,-37.4333
146.1166667,-37.75944444
146.195491,-37.713124
146.264659,-37.840069
146.2735,-37.8384
146.2735,-37.8384
146.3667,-37.4167
146.4167,-37.1167
146.4269,-37.1594
146.45,-37.15
146.5,-37.1833
146.5083,-37.7
146.7167,-36.7167
146.75,-37.4
146.75,-36.7667
146.75,-36.7667
146.75,-36.7667
146.75,-36.7667
146.75,-36.75
146.7667,-37.55
146.7667,-36.7667
146.7667,-36.75
146.78,-36.78
146.8,-37.6167
146.809,-36.732
146.809,-36.732
146.8094,-36.7322
146.8094444,-36.73222222
146.8167,-37.4833
146.8167,-35.8
146.8833,-37.5167
147,-36.5333
147.05,-37.45
147.1167,-36.9667
147.1167,-36.9667
147.1167,-36.9167
147.13,-37.97
147.1333,-37.9667
147.2,-37.0333
147.22,-36.8
147.2667,-36.9167
147.2667,-36.8833
147.2667,-36.8667
147.2667,-36.8667
147.2667,-36.8667
147.2667,-36.8667
147.2667,-36.85
147.28,-36.87
147.2833,-36.9167
147.2833,-36.8833
147.2833,-36.8667
147.2833333,-36.86666667
147.2861,-36.8944
147.289,-37.027
147.3,-36.9
147.3,-36.8667
147.3,-36.8167
147.3167,-36.9875
147.3167,-36.9875
147.33,-36.9
147.9167,-37.2167
148.0167,-37.1333
148.0167,-37.1
148.0417,-37.1111
148.0417,-37.1111
148.05,-37.07
148.05,-37.0667
148.05,-37.0667
148.05,-37.06666667
148.05,-37.05
148.05,-37.05
148.15,-36.8667
148.15,-36.85
148.1667,-37.0667
148.1667,-36.95
148.25,-36.6667
148.25,-36.6333
148.25,-36.3833
148.2666667,-36.45
148.2667,-36.4833
148.27,-36.63
148.27,-36.52
148.28,-36.37
148.28,-36.27
148.28,-36.27
148.2833,-36.4333
148.2833,-36.4
148.2833,-36.3667
148.2833,-36.3667
148.3,-36.5
148.3,-36.3
148.3,-35.9667
148.3167,-36.4167
148.3333,-36.0833
148.3667,-36.3667
148.36767,-36.415324
148.36767,-36.415324
148.37,-36.22
148.38,-36.37
148.3833,-36.1167
148.3833,-35.9333
148.4,-36.37
148.4,-36.35
148.4,-36.1833
148.4,-36.1833
148.4,-36.18
148.42,-36.375
148.42,-36.37
148.42,-35.97
148.425,-36.3917
148.445,-35.899
148.45,-36.35
148.45,-36.35
148.45,-36.35
148.46,-35.88
148.47,-36.37
148.47,-36.02
148.479,-35.6806
148.48,-36.37
148.48,-36.05
148.4833,-36.1
148.5,-36.0333
148.52,-35.9
148.5667,-35.9
148.5667,-35.9
148.57,-35.9
148.5833,-37.2
148.6,-36.1333
148.6,-35.5667
148.62,-35.5567
148.7167,-35.6167
148.7167,-35.6167
148.75,-35.38
148.7666667,-35.53333333
148.7667,-35.5667
148.7667,-35.5
148.7667,-35.5
148.7667,-35.5
148.77,-35.53
148.77,-35.53
148.77,-35.53
148.78,-35.67
148.78,-33.57
148.781,-35.7381
148.7811,-35.7381
148.7811111,-35.7381
148.7833,-35.5667
148.7833,-35.5667
148.7833,-35.5667
148.7833,-35.5667
148.7833,-35.5667
148.7833,-35.5667
148.7833,-35.5667
148.7833,-35.5667
148.7833,-35.5667
148.7833,-35.55
148.7833,-35.5167
148.7833,-35.5167
148.7833,-35.5167
148.7833,-35.4833
148.7833,-35.45
148.7833,-35.45
148.7833,-35.45
148.7833333,-35.56666667
148.7833333,-35.5
148.784321,-35.581984
148.784321,-35.565318
148.7944,-35.6897
148.8,-35.7083
148.8,-35.4
148.8167,-35.4333
148.8167,-35.4333
148.8167,-35.4
148.82,-35.3
148.8333,-37.2667
148.8333,-35.45
148.8667,-35.5
148.8803,-35.7158
148.8833,-35.5333
148.8958,-37.2583
148.8958,-37.2583
149.15,-35.2
149.167646,-35.215314
149.3,-36.52
149.3,-36.5167
149.418,-36.561
149.5144,-35.9564
149.5167,-35.9333
149.5667,-36
149.5667,-36
149.57,-36
