longitude,latitude
147.65,-36.8167
148.2667,-37.2333
148.3333,-37.3333
148.5679083,-37.19845873
148.6031,-37.4164
148.7333333,-37.46666667
148.744,-37.2167
148.744,-37.2167
148.744,-37.2167
148.744,-37.2167
148.744,-37.2167
148.75,-37.2167
148.75,-37.2167
148.75,-37.2167
148.75,-37.2
148.7667,-37.4
148.7667,-37.4
148.7667,-37.4
148.7667,-37.3833
148.7667,-37.3833
148.7667,-37.2
148.7667,-37.2
148.775,-37.4
148.775,-37.4
148.775,-37.4
148.778,-37.394
148.778,-37.394
148.78,-37.4
148.78,-37.4
148.7833333,-37.36666667
148.8,-37.4
148.8,-37.4
148.8097,-37.3028
148.8097,-37.3028
148.81,-37.3028
148.8167,-37.2333
148.822,-37.3056
148.822,-37.3056
148.822,-37.3056
148.822,-37.3056
148.822,-37.3056
148.822,-37.3056
148.8222,-37.3056
148.8222,-37.3056
148.83,-37.18
148.8325,-37.3028
148.8325,-37.3028
148.833,-37.3028
148.8333,-37.25
148.8333,-37.1833
148.85,-37.1833
148.85,-37.1833
148.85,-37.1833
148.8667,-37.3667
148.8667,-37.3667
148.8667,-37.35
148.8667,-37.35
148.8667,-37.35
148.8667,-37.35
148.8667,-37.35
148.8667,-37.35
148.8667,-37.2667
148.86761,-37.36525
148.87,-37.37
148.87,-37.35
148.87,-37.35
148.87,-37.35
148.87,-37.35
148.88156,-37.074489
148.8833,-37.2667
148.8833,-37.2667
148.88427,-37.26525
148.884617,-37.2731
148.8872,-37.275
148.9167,-37.2833
148.9667,-37.5667
148.9667,-37.5667
148.9669,-37.5731
148.9786,-37.6469
149.017394,-37.390878
149.0666667,-37.18333333
149.0667,-37.1667
149.0833,-37.1667
149.0983,-37.4717
149.1,-37.4833
149.1167,-37.4833
149.2917,-37.2694
149.3166667,-37.35
149.3331,-37.4344
149.35,-37.55
149.35,-37.55
149.35,-37.53
149.3792,-37.005
149.3833,-37.5361
149.3833,-37.3833
149.3833,-37.0833
149.387113,-37.534765
149.4,-37.0083
149.4,-37.0083
149.4,-37.0083
149.4,-37.0083
149.4,-37.0083
149.4,-37.0083
149.4,-37.0083
149.4167,-37.5819
149.4167,-37.0833
149.4167,-37.0833
149.42,-37.0894
149.42,-37.0806
149.425,-37.0917
149.425,-37.0917
149.425,-37.0903
149.425,-37.0903
149.425,-37.0111
149.425,-37.0111
149.425,-37.0111
149.425,-37.0111
149.43,-37.1
149.431,-37.096
149.4333,-37.1
149.4333,-37.1
149.45,-37.7
149.45,-37.5333
149.5,-37.1333
149.5,-37.1333
149.5,-37.1333
149.5,-37.12
149.5,-37.1167
149.5,-37.1167
149.5,-37.1167
149.5,-37.1167
149.5,-37.1167
149.5,-37.1167
149.5,-37.1167
149.5,-37.1167
149.5,-37.1
149.5083,-37.125
149.5083,-37.125
149.5083,-37.125
149.5083,-37.125
149.5083,-37.125
149.5083,-37.125
149.5333,-37.05
149.869,-37.4958
149.869,-37.4958
149.869,-37.4958
149.8833,-35.55
149.908,-35.6333
149.908,-35.6333
149.909,-35.632
149.9094,-35.6322
149.9122,-35.6322
149.9122,-35.6322
149.9167,-35.6333
149.9167,-35.6333
149.9167,-35.6333
149.9167,-35.6333
149.9167,-35.6333
149.9167,-35.6333
149.9167,-35.6333
149.9167,-35.6333
149.9167,-35.6333
149.9167,-35.6333
149.9167,-35.6333
149.9167,-35.6333
149.9167,-35.6333
149.9167,-35.6333
149.9167,-35.6167
149.9167,-35.6167
149.9167,-35.6167
149.9167,-35.6
149.91764,-35.625587
149.91764,-35.61531
149.9195165,-35.56221216
149.92,-35.63
149.92,-35.63
149.92,-35.63
149.92,-35.63
149.92,-35.63
149.92,-35.63
149.92,-35.6
149.9333,-35.65
