longitude,latitude
149.8667,-36.5167
151.7333333,-29.25
152.4,-28.62
152.7167,-28.2
152.7363889,-28.205
152.7363889,-28.205
152.75,-28.27
152.7591341,-28.27353963
152.7591341,-28.27353963
152.7591341,-28.27353963
152.7591341,-28.27353963
152.7930125,-26.58548649
152.875789,-26.57354169
152.92,-30.82
152.9333333,-30.83333333
152.9333333,-30.83333333
152.9667,-28
152.97,-28
153,-28
153.08,-28.32
153.15,-28.27
153.17,-28.25
153.17,-28.25
153.17,-28.17
153.17,-28.02
153.18,-28.02
153.1924594,-28.02353784
153.1924594,-28.02353784
153.1924594,-28.02353784
153.2,-28.2167
153.2,-28.2167
153.2,-28.2167
153.2,-28.21666667
153.2,-28.21666667
153.2056,-28.0375
153.2063482,-28.03603776
153.207,-28.036
153.2113889,-28.22166667
153.2119444,-28.22305556
153.2128085,-28.22166957
153.2128085,-28.22166957
153.2128085,-28.22166957
153.2128085,-28.22166957
153.213,-28.221
153.2132222,-28.22166667
153.2167,-28.2333
153.2167,-28.2333
153.3,-28.67
153.3166667,-28.63333333
153.3166667,-28.63333333
153.32,-28.67
153.32,-28.67
153.32,-28.63
153.32,-28.63
153.32,-28.62
153.3333333,-28.53333333
153.3417,-28.5633
153.3417,-28.5633
153.361,-28.5861
153.3611,-28.5861
153.3667,-28.6
153.3667,-28.5833
153.3667,-28.5833
153.378,-28.53
153.38,-28.62
153.38,-28.62
153.38,-28.62
153.38,-28.6
153.3813889,-28.60527778
153.3833,-28.6167
153.3833,-28.6167
153.3833,-28.6167
153.3833,-28.6167
153.3833,-28.6167
153.3833,-28.6
153.3833333,-28.6
153.384,-28.609
153.387,-28.6106
153.387,-28.6106
153.3872,-28.6106
153.39,-28.61
153.391,-28.6093
153.3917,-28.6167
153.392,-28.62
153.392,-28.62
153.4,-28.62
153.4,-28.62
153.4,-28.62
153.4,-28.62
153.4,-28.6167
153.4,-28.6167
153.4,-28.6167
153.4,-28.6167
153.4,-28.6167
153.4,-28.6167
153.4,-28.61666667
153.4,-28.61666667
153.4,-28.6
153.4167,-28.6167
