longitude,latitude
115.0167,-33.6333
115.75,-34.2667
145.4791,-40.96834
145.49993,-40.86418
145.5,-40.9
145.5,-40.9
145.51,-40.86
145.5333,-40.95
145.55,-40.9167
145.58437,-40.93195
145.601,-40.9372
145.6011,-40.9372
146.16771,-41.48195
146.3,-41.3
146.3358,-39.0342
146.3358,-39.0342
146.38,-41.35
146.4,-41.4
146.4177,-41.53195
146.68963,-41.19389
146.77,-41.15
146.83435,-41.08194
147,-41
147,-41
147,-41
147,-41
147,-41
147.0667,-41.0667
147.06769,-41.06528
147.2,-43
147.25,-43.03
147.4,-41
147.46771,-43.01529
147.4801667,-42.9733889
147.48437,-42.96529
147.58434,-41.11527
147.85,-41.55
147.8677,-42.56528
147.91766,-39.91527
147.93433,-40.98193
147.93433,-40.96527
147.9667,-40.9833
147.96767,-40.98193
147.96768,-41.61527
147.967735,-40.982016
147.97,-41.62
148.05,-40.07
148.18,-40.95
148.21768,-41.96527
148.2333,-41.4833
148.2333,-41.3333
148.23432,-40.43193
148.25,-42.17
148.25,-42.12
148.26767,-41.46527
148.26767,-41.41527
148.27,-42.15
148.27,-42.15
148.28434,-42.28194
148.3,-42.2
148.3167,-42.2
148.31766,-40.98193
148.31768,-42.21527
148.33434,-42.21527
149.7333,-37.1833
149.837,-37.4467
149.9,-37.42
149.929,-37.3103
149.929,-37.3103
149.9292,-37.3103
